SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
995b10ba3a5bf15ceacecf92c64a8fa782023e98,160,60.431,43,43,0,5.188,6,0,0
78799a81c96d14ddc06e469d4e5fe00079e07120,47,31.546,44,42,0,4.288,2,0,0
e0cb224042974806977d8efc566f4720607669b6,47,25.122,44,42,0,4.355,0,0,0
37b5910ac6b6649a8430567089998ed57885f440,160,60.863,45,43,0,5.278,7,0,0
bf63a0d1edcf895778621e91cf6885e3a0ded013,48,34.842,45,43,0,5.288,2,0,0
1588187da57228e1bdee5f72f5cd36bc97f5b775,48,43.450,45,43,0,5.307,5,0,0
25adcdae8bb17c6ac02f032350ab52e0b2cfb0d3,160,60.292,45,43,0,5.308,7,0,0
ab030d3b556afae8113ba50b2a335ecf7a05ae19,48,46.611,45,43,0,5.388,5,0,0
95a34cbf988908f4f4b0ad4ad383bbc94e12d9f5,48,46.735,45,43,0,5.544,5,0,0
47c6da0c46021517ed19728249c986fa6c014542,48,46.699,45,43,0,5.279,5,0,0
04a79e2246aedfecdfe999a76e88b269854d9e48,160,62.826,54,50,0,6.635,7,0,0
ec1861a0d1a908baf6d94625c46059b588a97fe7,48,33.199,52,50,0,6.624,2,0,0
bb3f28a3a01c2207d25fc11b9745f8fc6991a099,48,35.216,52,50,0,6.660,2,0,0
1917d9d4003c489908fd021a1bfa6da5c631c679,48,48.821,53,51,0,6.633,5,0,0
7746663f448edd616cc3b04c7f5699f8eb3f48b1,160,96.613,88,82,0,19.028,10,0,0
8eb48044835336acef906382b8897c4502fc1751,49,57.320,82,77,0,18.858,7,0,0
2697648c4a601d2d466a6a70dcf5fcd2dc18081f,0,7.969,82,0,0,18.742,0,0,0
84952b53b417393aae78fae1db5eb3fe5b40a14a,49,58.082,82,77,0,18.718,7,0,0
adae843105c0c91d92a936c65e71ff93476d917b,48,48.539,82,57,0,19.050,5,0,0
ee56a8bfdbbc302cdc02f85977e3b49334f978f7,49,61.107,82,79,0,20.105,7,0,0
sum,1473,966.283,1155,1001,0,192.276,96,0,0
arith_mean,77.53,48.31,57.75,52.68,0,9.61,5.33,0,0
geo_mean,65.96,43.99,55.56,51.09,0,7.99,4.79,0,0
