SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
2bd1ad90f5d89ac15698b385ebcab8c8be152f5f,160,54.852,0,119,799,6.272,26,0,0
afb1e40cafbd906a4546ce0ee0074b08512d14c0,23,9.077,0,5,12,4.368,4,0,0
db5c93e9782ef6cbd44d1e9e6e041b299853e002,37,9.377,0,34,358,4.350,0,0,0
333c9f2293cbe97212b8fabcc9a3bc219232e78b,17,8.694,0,2,10,4.394,0,0,0
49576b5f522497d03be09eb33f4f941005a901da,11,10.311,0,2,2,4.345,0,0,0
9958526ed2b81f0a7fe7b5156903f6d86e936d16,31,13.552,0,2,4,4.319,1,0,0
ecec4f853f36df390e9f6dd61fea80eea9a32be0,32,10.403,0,9,32,4.365,0,0,0
4d71eb2effe2ce267883ef93769953cb7774632e,31,13.628,0,2,4,4.330,1,0,0
8990dc2c302f60eb79e6c545de9ad2d37c9107df,22,11.485,0,2,4,4.362,1,0,0
f01b9b668466d98deb64883fd06d580897d504a8,42,16.796,0,7,125,4.385,1,0,0
4fee6a49731b1b012ce3c80b127e346a077c4b52,40,9.520,0,37,386,4.369,0,0,0
f53aef5e060eefa9a9fb801b77b5361c8455cb03,0,4.962,0,0,0,4.338,0,0,0
244c1cf2dd499dfedb03d8cc8c5a8383bba17ba5,42,16.937,0,4,57,4.382,1,0,0
c91f51489b02346a0c04cdd3f7f843b66159454b,43,17.783,0,36,363,4.410,1,0,0
5c446a04d85dfc2407665749e5f0bf900dc02efe,35,17.091,0,6,43,4.360,1,0,0
f5cfdfb3393565ef83ab1fb873f457fcc4462556,41,16.953,0,4,60,4.393,1,0,0
b8833b5d05eddc80e97eb79d3801a8113a497658,41,17.021,0,4,60,4.380,1,0,0
71b0fe433782d307435406ec7e722f8af93535d1,0,5.080,0,0,0,4.380,0,0,0
df44c46419998c7717f372ea914e27d52766155d,43,13.682,0,35,364,4.422,15,0,0
37f59a36fa07a42ffd6c019b5bb0f55a729fb0db,23,12.948,0,4,33,4.375,1,0,0
sum,714,290.152,0,314,2716,89.299,55,0,0
arith_mean,39.67,14.51,0,17.44,150.89,4.46,4.23,0,0
geo_mean,33.64,12.58,0,7.23,43.08,4.45,1.76,0,0
