SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
74e6a153fb4d170968795c12370ddfb32fb4f650,160,46.318,0,47,374,5.203,4,0,0
3fa0d88c44e7c09f98748234449680dc8ed79691,0,4.059,0,0,0,2.874,0,0,0
10b45d76e44c8fa92cb3276032227ac35cd13810,40,24.927,0,35,376,2.970,0,0,0
b53a2ff7aeefa7e8ca983d47944b76139eef3006,40,25.527,0,37,396,3.174,0,0,0
638bac88cd32714b2d7c98752be88b6635c735c7,40,27.173,0,37,394,3.071,0,0,0
b8e891600ca0ae163c3ceb951b5f47d5d5d8362a,23,21.797,0,5,43,3.034,0,0,0
5669ac2b01540a470247ec6816a721f2865f534b,40,30.101,0,37,407,3.517,0,0,0
6576c4339ffbbd5150cbf5b2cb16c8b9e253fdb5,37,25.137,0,31,325,2.692,0,0,0
c5e7f50a61c6302bb838fc0a3d377b5901c6b492,7,11.274,0,3,30,5.005,0,0,0
d169b917d684e1a3b3f5407c6a595ff33471aaf0,7,11.241,0,3,30,2.843,0,0,0
cef0b8ca14cb645ce77ef90ad1595eadecb76414,28,25.420,0,4,34,3.107,0,0,0
15a880c9079120b4abb7befabc088c0acaa88098,32,23.822,0,25,176,2.995,0,0,0
8f31e0d980049ac741814784a83a6eaed3e9bb42,32,24.231,0,30,302,3.006,0,0,0
809c8921e2c8488ec713ef162fbfbd97224fb236,32,24.852,0,33,361,3.627,0,0,0
d8abc4a2066762fec22ca8bc12dd16476dc8dec2,28,23.379,0,4,33,3.556,0,0,0
7af90453824b38fc7985219da54f0332847bca4e,40,25.626,0,37,426,3.398,0,0,0
5fb2c18920458e68fe83876d0a8a74d10869d831,32,25.850,0,31,332,3.031,0,0,0
59018e14e94bab81f9fc2d3494fe2daebd6bceb5,40,29.307,0,37,428,3.087,0,0,0
1be9fb194576921df39a1e2c9428e9a0ec841ae3,0,6.804,0,1,2,2.846,0,0,0
66b59a3a45a5f93c42446d08e605ea382b4935c4,18,17.934,0,2,3,3.051,0,0,0
sum,676,454.779,0,439,4472,66.087,4,0,0
arith_mean,37.56,22.74,-nan,23.11,235.37,3.30,4.00,-nan,-nan
geo_mean,30.07,20.27,-nan,13.69,112.11,3.25,4.00,-nan,-nan
