SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
ba326e6fb8c8f756ec3b5c1a3c795be0e46ee8a9,160,25.297,467,467,0,4.305,0,0,0
41789cd869b39b07cfd06f25a30dea4aee2574ed,0,4.724,467,0,0,3.726,0,0,0
2e48ef788336a47618a75255a8704bfbde570518,61,13.250,467,236,0,3.720,0,0,0
87d49765ed4947e7b7cc514b3fd5071780c2e2a8,61,12.401,468,224,0,3.757,0,0,0
d34a95893f93227a83f1503086d5c7f5b50b62ce,61,11.498,468,236,0,3.705,0,0,0
3cf022e01a8598c658a0c25d847f42838471c781,61,13.198,472,233,0,3.724,0,0,0
b857077ac8ed7db9f6d09e37107934311fb81f5f,160,55.900,475,456,0,4.277,0,0,0
6af2b8653d1b613e90dfbbde369d5051ae3b00d4,73,13.676,472,246,0,3.838,0,0,0
6f6654f86683a898ac86884cf4e19c193acaac3c,160,53.649,462,230,0,4.131,0,0,0
3495a64ba75287f55d5a26032f48889323d821c6,160,53.175,461,217,0,3.873,0,0,0
990d2f3ba79ecc78adbef48e65b7d1bdd74f010f,61,11.255,461,216,0,3.826,0,0,0
432f6494079a0c6f814ae600742df16d5dc2c470,61,11.239,461,216,0,3.878,0,0,0
206d6b68d1aa6d282d692cec3e38d144e1474b43,64,11.882,461,226,0,3.893,0,0,0
40093a67205b5e5ee86d982216de34ab76ff8956,64,11.711,461,226,0,3.849,0,0,0
3aa0f112aa61d02e04838a9231bc207c5833c966,64,11.813,461,226,0,3.889,0,0,0
37f399bf5a2181d08bd285d05bc1b5c17b1d728c,64,11.912,462,228,0,3.795,0,0,0
c088c25b3934bc44cdbebdc6e09f9022595a8fb0,64,12.016,462,227,0,3.867,0,0,0
be217b95d7478d1bf79ed8d733579af16caac826,61,12.598,469,223,0,3.878,0,0,0
6b78cc26178041dec029ae7b8ee48108ccd2a526,61,13.543,468,226,0,3.882,0,0,0
e4fa522af6fbc21e6df3b825a5d4c94043aa7784,68,14.704,468,387,0,3.895,0,0,0
sum,1589,379.441,9313,4946,0,77.708,0,0,0
arith_mean,83.63,18.97,465.65,260.32,0,3.89,0,0,0
geo_mean,76.84,15.29,465.63,251.68,0,3.88,0,0,0
