SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
6a8ef6dfec9421e74f38267a772370b0f1cd2c9d,160,214.669,2336,2336,0,0,10,0,0
4da97794eaa3a08d33e253d41ea78f50eb749170,50,168.057,2337,2242,0,0,7,0,0
e6ec6fc9e6b05b27e2fbcab7f970a7509d755174,160,185.452,2337,2248,0,0,7,0,0
f3dece2ee657ed38fbd1f952feaf3a3653b09d8a,50,151.537,2337,2248,0,0,7,0,0
96d6580a72a575d20cfb4c627b3eb7cef770b3f3,160,192.592,2337,2235,0,0,7,0,0
fdd98e5113b599ff05734a6ceb3cfe85d44ab491,160,189.785,2337,2248,0,0,7,0,0
233ab917c942420a67b9ddd599098e310a08d3f7,60,146.719,2338,2249,0,0,7,0,0
9a95c9c30e6c8c3d59023197b96075a7795b27b5,62,177.568,2338,2249,0,0,7,0,0
3970a46bdd9210893030963486a060015f82f68d,67,125.096,2338,2249,0,0,7,0,0
89b40011590c8aee8695e18ba3be0dc23a261108,67,150.338,2338,2249,0,0,7,0,0
2b0ffca8dfd8575197d222f920b6ef8fba325f6b,67,114.663,2338,2249,0,0,7,0,0
43e9c9058a33da560ee3772072ba8fae704a6488,68,143.027,2338,2249,0,0,7,0,0
588804f62c21e66c8fd26b5d28313ee6171121bd,68,155.495,2338,2249,0,0,7,0,0
43acec3d2c7b903d19b949de9becbfb90704c144,68,158.987,2338,2249,0,0,7,0,0
02f9ee6b60c90810543ab38b144ce95f87b8fa0e,68,,2338,2249,0,0,0,0,0
sum,1335,,35063,33798,0,0,101,0,0
arith_mean,89.00,162.43,2337.53,2253.20,0,0,7.21,0,0
geo_mean,80.58,160.24,2337.53,2253.09,0,0,7.18,0,0
