SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
54783e78,0,399.921,0,0,0,15.996,4,0,0
8d69c155,0,399.149,0,0,0,13.178,4,0,0
77b02e2d,0,385.667,0,0,0,13.367,4,0,0
4960b46c,0,13.720,0,0,0,2.330,0,0,0
78fc1d11,0,15.139,0,0,0,2.432,0,0,0
6f7fca41,0,9.973,0,0,0,2.354,0,0,0
4be3bb81,0,10.287,0,0,0,2.388,0,0,0
04729fec,0,10.922,0,0,0,2.343,0,0,0
5320774e,0,10.119,0,0,0,2.348,0,0,0
ec20f258,0,11.493,0,0,0,2.379,0,0,0
93b67534,0,10.823,0,0,0,2.406,0,0,0
754f4eef,0,12.824,0,0,0,2.446,0,0,0
e588a0a1,0,12.981,0,0,0,2.483,0,0,0
64961b16,0,11.732,0,0,0,2.571,0,0,0
d97a554b,0,12.183,0,0,0,2.507,0,0,0
077d2213,0,17.365,0,0,0,2.869,0,0,0
bcc0f708,0,16.907,0,0,0,2.861,0,0,0
298774c7,0,16.136,0,0,0,2.868,0,0,0
c82a1004,0,17.277,0,0,0,2.823,0,0,0
0dedb503,0,16.176,0,0,0,2.907,0,0,0
sum,0,1410.794,0,0,0,85.856,12,0,0
arith_mean,0,70.54,0,0,0,4.29,4.00,0,0
geo_mean,0,21.76,0,0,0,3.28,4.00,0,0
