SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
6ab09379ddc735b635b4e5a5c874ea5c88881915,160,91.358,133,133,0,6.931,12,0,0
d0c6dc6e95b2d3d943980145542b16c683aebf96,30,44.961,133,108,0,6.078,6,0,0
c50cdfa5392b470768c87e53880788f4019cd029,30,39.793,133,108,0,6.147,6,0,0
7fa683e5694d896b2a44de09383a248817d7c46a,160,75.077,133,115,0,6.340,9,0,0
5d75b62f4e3e1c9a1eeeb60e812b769ada3446bd,33,32.379,133,106,0,6.102,5,0,0
df20ccdb51e7ac1619f995b3f3e9ebc34d8ae3b6,33,71.963,133,111,0,6.152,11,0,0
71e8fe3d43c598af3bc3aa8334351ea2030da23e,33,84.037,133,121,0,6.078,12,0,0
ab8f669977fa3ad9e8bcf052ac210e9f1d3965a2,33,71.769,133,111,0,6.273,11,0,0
cc3043a32a52ba576d99736f7cd4078fd4b9ee79,33,34.936,133,106,0,6.117,5,0,0
96585d914d012485ec7faf2c93c291c62e2731cb,33,35.131,133,106,0,6.336,5,0,0
1df66ae9c9d6c54f93c1154645540f0aeaa43f58,37,44.491,133,108,0,6.030,6,0,0
b364e579b25a05eefde377706c85f81828dd36d2,37,57.702,133,118,0,6.075,9,0,0
208d48ff2c6e9abdbc686057b4de5d0fe03bb2f7,37,40.230,133,108,0,6.088,6,0,0
477d01cf4c1cd0e81b9c9f0f1dc4276ee19d867f,37,39.400,134,107,0,6.005,5,0,0
b7dc04ca38fdf9c77e74d742502c083897ba3bb4,40,75.678,134,122,0,6.100,12,0,0
1d5ac5618b1dc2399e5eb5310bd068b91dd0c5d8,160,46.592,134,107,0,6.085,4,0,0
e9fb243016e7dd58df0b6495d8eb45ed26b90a16,40,35.491,134,107,0,6.158,4,0,0
73d1bec7f16698b7b0bc5b1a742f4a7966b09927,40,35.392,134,107,0,6.280,4,0,0
f317f51ec90be7cd7b760b5ac74989fbdf3bc96e,40,32.041,134,107,0,6.271,4,0,0
b12aba32b6f097db9103615c8e3db4dfaa8445bf,40,32.830,134,107,0,6.137,4,0,0
sum,1086,1021.251,2667,2223,0,123.783,140,0,0
arith_mean,54.30,51.06,133.35,111.15,0,6.19,7.00,0,0
geo_mean,44.47,47.88,133.35,110.94,0,6.19,6.42,0,0
