SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
74e6a153fb4d170968795c12370ddfb32fb4f650,160,43.172,0,47,374,5.203,4,0,0
3fa0d88c44e7c09f98748234449680dc8ed79691,0,4.254,0,0,0,2.874,0,0,0
10b45d76e44c8fa92cb3276032227ac35cd13810,36,7.652,0,5,23,2.970,0,0,0
b53a2ff7aeefa7e8ca983d47944b76139eef3006,36,8.716,0,7,30,3.174,0,0,0
638bac88cd32714b2d7c98752be88b6635c735c7,39,8.719,0,6,22,3.071,0,0,0
b8e891600ca0ae163c3ceb951b5f47d5d5d8362a,18,7.359,0,1,2,3.034,0,0,0
5669ac2b01540a470247ec6816a721f2865f534b,36,8.008,0,11,36,3.517,0,0,0
6576c4339ffbbd5150cbf5b2cb16c8b9e253fdb5,5,7.532,0,1,1,2.692,0,0,0
c5e7f50a61c6302bb838fc0a3d377b5901c6b492,6,7.166,0,1,1,5.005,0,0,0
d169b917d684e1a3b3f5407c6a595ff33471aaf0,6,7.794,0,1,1,2.843,0,0,0
cef0b8ca14cb645ce77ef90ad1595eadecb76414,28,8.769,0,1,2,3.107,0,0,0
15a880c9079120b4abb7befabc088c0acaa88098,31,8.082,0,2,4,2.995,0,0,0
8f31e0d980049ac741814784a83a6eaed3e9bb42,28,7.883,0,1,2,3.006,0,0,0
809c8921e2c8488ec713ef162fbfbd97224fb236,1,7.698,0,1,11,3.627,0,0,0
d8abc4a2066762fec22ca8bc12dd16476dc8dec2,28,9.069,0,1,1,3.556,0,0,0
7af90453824b38fc7985219da54f0332847bca4e,36,8.131,0,7,53,3.398,0,0,0
5fb2c18920458e68fe83876d0a8a74d10869d831,14,8.237,0,1,2,3.031,0,0,0
59018e14e94bab81f9fc2d3494fe2daebd6bceb5,36,8.280,0,6,28,3.087,0,0,0
1be9fb194576921df39a1e2c9428e9a0ec841ae3,0,6.779,0,1,2,2.846,0,0,0
66b59a3a45a5f93c42446d08e605ea382b4935c4,18,7.676,0,1,1,3.051,0,0,0
sum,562,190.976,0,102,596,66.087,4,0,0
arith_mean,31.22,9.55,-nan,5.37,31.37,3.30,4.00,-nan,-nan
geo_mean,19.75,8.39,-nan,2.32,5.89,3.25,4.00,-nan,-nan
