SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
4d782e211e9d9e112d34becec2c2987fd717f972,0,26.378,0,0,0,9.648,75,0,0
311bb3b24237bc26ac2b7b9e649474f6b5d11140,0,26.150,0,0,0,9.163,75,0,0
e45314ae1ee005fb453f7fa8fc75e1c39fcc8399,0,26.202,0,0,0,8.991,75,0,0
2d6644461ba55034a80b125e3570c42181cca149,0,26.045,0,0,0,9.190,76,0,0
ca346b8896f947592fa92501199587fd43752356,0,26.370,0,0,0,9.060,77,0,0
28c94188145cdebca845aa7569b3aa290de190f6,0,26.375,0,0,0,9.217,77,0,0
f835a880765bf61889ddb72d9c4c02dccae204b1,0,26.429,0,0,0,9.043,77,0,0
a735f920c141592b07bbf1778a961871f4ef4386,0,26.356,0,0,0,9.106,77,0,0
bba835d98ed438e17b970f650ad9256632e84a04,0,26.414,0,0,0,9.172,77,0,0
e2f354333a5b8462e8a4899ad27179d0f4f2b4ec,0,26.444,0,0,0,9.358,77,0,0
897b86b9ae9982dc2dc9df607bc18340ffbb3a0c,0,26.199,0,0,0,9.223,77,0,0
59cf72243782679af46aa29928879504ddb36f29,0,26.437,0,0,0,9.308,77,0,0
1941a7e90b70fb7e5149f8cb757cacb64ab182de,0,26.282,0,0,0,9.168,77,0,0
ca903ae97d605c1323d4092eb4a1a9a1516237e1,0,28.632,0,0,0,10.052,78,0,0
1fe7dabbbcde784094ceca47f5036e8b3f1ec722,0,28.905,0,0,0,9.348,78,0,0
d5e69ffd8987e61a72640fd7ff82c3c3de6af3cf,0,28.824,0,0,0,9.549,78,0,0
b34e8b9303acff77353ba86ee6ffb2f2ac88c635,0,29.020,0,0,0,9.609,78,0,0
43e04d682aed69638b0b779261725a51e62b016e,0,28.957,0,0,0,9.450,78,0,0
156d365aa3b5aa2a7df897532469bc99fd9f037d,0,29.242,0,0,0,9.527,78,0,0
599cd1d84d5bd2cc13940e1dfe75cf7c1fed6cd4,0,28.931,0,0,0,9.508,78,0,0
sum,0,544.592,0,0,0,186.690,1540,0,0
arith_mean,0,27.23,0,0,0,9.33,77.00,0,0
geo_mean,0,27.20,0,0,0,9.33,76.99,0,0
