SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
4d782e211e9d9e112d34becec2c2987fd717f972,160,3294.867,627,627,0,9.648,75,0,0
311bb3b24237bc26ac2b7b9e649474f6b5d11140,43,18.796,627,396,0,9.163,22,0,0
e45314ae1ee005fb453f7fa8fc75e1c39fcc8399,1,9.977,627,46,0,8.991,0,0,0
2d6644461ba55034a80b125e3570c42181cca149,44,14.689,628,509,0,9.190,5,0,0
ca346b8896f947592fa92501199587fd43752356,42,14.787,629,310,0,9.060,11,0,0
28c94188145cdebca845aa7569b3aa290de190f6,45,15.929,630,392,0,9.217,11,0,0
f835a880765bf61889ddb72d9c4c02dccae204b1,0,9.101,630,0,0,9.043,0,0,0
a735f920c141592b07bbf1778a961871f4ef4386,44,10.934,630,516,0,9.106,0,0,0
bba835d98ed438e17b970f650ad9256632e84a04,28,10.380,630,115,0,9.172,0,0,0
e2f354333a5b8462e8a4899ad27179d0f4f2b4ec,44,14.953,630,511,0,9.358,9,0,0
897b86b9ae9982dc2dc9df607bc18340ffbb3a0c,0,9.127,630,0,0,9.223,0,0,0
59cf72243782679af46aa29928879504ddb36f29,44,28.090,635,531,0,9.308,28,0,0
1941a7e90b70fb7e5149f8cb757cacb64ab182de,44,27.968,635,531,0,9.168,28,0,0
ca903ae97d605c1323d4092eb4a1a9a1516237e1,160,17.472,679,163,0,10.052,1,0,0
1fe7dabbbcde784094ceca47f5036e8b3f1ec722,49,13.400,679,336,0,9.348,4,0,0
d5e69ffd8987e61a72640fd7ff82c3c3de6af3cf,0,10.640,679,0,0,9.549,0,0,0
b34e8b9303acff77353ba86ee6ffb2f2ac88c635,35,10.871,679,268,0,9.609,0,0,0
43e04d682aed69638b0b779261725a51e62b016e,35,13.437,679,268,0,9.450,5,0,0
156d365aa3b5aa2a7df897532469bc99fd9f037d,51,14.059,680,564,0,9.527,0,0,0
599cd1d84d5bd2cc13940e1dfe75cf7c1fed6cd4,35,11.028,680,268,0,9.508,0,0,0
sum,904,3570.505,12943,6351,0,186.690,199,0,0
arith_mean,53.18,178.53,647.15,373.59,0,9.33,18.09,0,0
geo_mean,38.81,18.04,646.72,318.60,0,9.33,10.32,0,0
