SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96b2f21d,160,15.198,0,22,237,2.783,0,0,0
4fddd6d7,1,6.364,0,18,76,2.426,0,0,0
418a1e7b,23,11.699,0,18,75,2.503,0,0,0
721c28e6,0,5.163,0,0,0,2.390,0,0,0
d66a71f7,160,15.889,0,12,37,2.391,0,0,0
6373d176,23,16.643,0,19,77,2.481,0,0,0
bc6ee4fe,23,12.103,0,19,77,2.484,0,0,0
96284293,1,6.420,0,18,75,2.538,0,0,0
6ae5bfdb,23,10.862,0,18,75,2.541,0,0,0
b0a0f225,23,11.829,0,18,75,2.573,0,0,0
a08b598f,0,3.714,0,0,0,2.514,0,0,0
f37f8990,23,11.957,0,19,79,2.431,0,0,0
573ddeed,24,14.722,0,12,38,2.451,0,0,0
93f865dc,23,11.812,0,18,76,2.512,0,0,0
4a710099,23,11.349,0,18,76,2.492,0,0,0
19a16806,31,13.224,0,19,109,2.620,0,0,0
dff59b93,160,15.630,0,18,77,2.456,0,0,0
0ae2846a,23,11.304,0,18,77,2.489,0,0,0
39697872,24,13.562,0,19,114,2.511,0,0,0
97b7d4ca,19,11.205,0,18,81,2.519,0,0,0
sum,787,230.649,0,321,1531,50.105,0,0,0
arith_mean,43.72,11.53,0,17.83,85.06,2.51,0,0,0
geo_mean,22.67,10.82,0,17.66,78.54,2.50,0,0,0
