SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
095f7f50,160,151.019,16,16,0,4.662,42,0,0
aab22fc4,0,6.937,16,2,0,4.044,0,0,0
8add94fc,0,5.142,16,0,0,4.110,0,0,0
ca74f47d,2,15.712,17,11,0,4.160,12,0,0
5fd00d64,2,15.979,19,13,0,4.287,12,0,0
1a2e12c8,15,66.358,20,15,0,4.561,36,0,0
ca65459f,0,5.010,20,0,0,4.588,0,0,0
0b9ede25,160,6.320,20,2,0,4.562,0,0,0
36f84631,160,6.326,21,3,0,4.583,0,0,0
b0306567,24,80.989,24,6,0,4.736,23,0,0
d53a11b8,160,150.621,25,1,0,5.546,46,0,0
667755b0,0,9.756,29,4,0,5.479,0,0,0
sum,683,520.169,243,73,0,55.318,171,0,0
arith_mean,85.38,43.35,20.25,7.30,0,4.61,28.50,0,0
geo_mean,31.39,18.95,19.90,5.01,0,4.59,24.76,0,0
