SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
b18e01a9920fdbcb4fbf1725c0908851a0a3e7fc,0,71.833,0,0,0,10.622,1,0,0
e40032eda81cc22dc4f63b18044c7515b849960d,0,9.471,0,0,0,7.929,0,0,0
03d5a5c6f4d9a1b7ee18b4efe9797492fd55949e,0,73.194,0,0,0,7.317,1,0,0
2234330f7e9f24b4efd2beba6ce2743114497bc7,0,71.413,0,0,0,8.088,1,0,0
c7d7332a53ea0620118dec480ff6dc77be988640,0,8.873,0,0,0,6.699,0,0,0
181cadbba3efe8573a2263a7d6cd60c140077491,0,8.598,0,0,0,7.046,0,0,0
9c0f946c2a3da7014c3ac6926bb19d73d0158041,0,8.959,0,0,0,7.006,0,0,0
bf2b195189bf2f47cf7a777e77e74b8f53bced43,0,8.383,0,0,0,7.699,0,0,0
c894b5366ccfaed194e158d3cd13f8635b00e085,0,9.044,0,0,0,7.482,0,0,0
6b72db7f24f1c530a837734094fd01d2b8f679a1,0,8.813,0,0,0,7.271,0,0,0
215eb26362e48c6839593fb8a723763178731bb9,0,78.531,0,0,0,7.034,1,0,0
ec43692567bf4dc297cefc79ea903e403afa0e31,0,8.294,0,0,0,7.371,0,0,0
b233dbb777fb03bfcaf3677001f5fda27288c5f0,0,8.230,0,0,0,7.313,0,0,0
7e36a361b38614ab202a5c4d7490750e1bb1d65a,0,37.517,0,0,0,6.859,1,0,0
a879c181168edb010a1075d507072ab068da3b98,0,8.033,0,0,0,7.308,0,0,0
818e789b26bc27956cfbf48766d2eb421d9d897c,0,8.129,0,0,0,6.764,0,0,0
74c78652dfefbc2596c925827c1015e51a51e003,0,11.661,0,0,0,7.375,0,0,0
bdc5223611c99b8d326b928084d62b42df466f68,0,10.458,0,0,0,10.847,0,0,0
2c5c2aa9de3e6fa15955def6b810927aa945f22d,0,9.840,0,0,0,7.066,0,0,0
6061a354c80e5fd4cf7293c67f5b0841f7d901b0,0,8.579,0,0,0,7.210,0,0,0
sum,0,467.853,0,0,0,152.306,5,0,0
arith_mean,-nan,23.39,-nan,-nan,-nan,7.62,1.00,-nan,-nan
geo_mean,-nan,14.69,-nan,-nan,-nan,7.55,1.00,-nan,-nan
