SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
58619effa9b97ee8c0ea5feb8963d0d735771d22,160,23.834,145,145,0,3.492,1,0,0
325708b171d198ba2551b9e355cc899af478bee1,25,7.023,146,33,0,3.025,0,0,0
a67364475fd7384db84acacb2000a345a5d0aa45,40,7.503,146,33,0,3.043,0,0,0
5828c2f3cbdc0b1ad63278c8e21121b152e6b17c,25,7.064,146,31,0,3.019,0,0,0
759a540be691eea7d0c33f845a650ed9e8052382,32,7.478,147,33,0,2.986,0,0,0
6f009859b3edbc83615dba1c1c7713905d9ab3d0,25,7.059,147,31,0,3.022,0,0,0
d84a43cf8e92e5235b8cd3ebe88416ca15ab18f8,24,7.039,147,29,0,2.978,0,0,0
33946239d80235c9ac13cec90b99c8cb35d31aa8,40,8.061,150,41,0,3.103,0,0,0
363a0d899624ec59bd73211d79556fe2c65d42d9,0,3.120,150,0,0,3.041,0,0,0
9fb6bbb5637c8385823f5ffd0187ecda86d54ab5,160,23.067,149,45,0,3.089,1,0,0
bf18a741cca77fc601b74fcfc56e06ffa1468fcf,40,7.850,152,36,0,3.005,0,0,0
333a45f0e88fd5e628667eb26f1e0d830e026dc3,40,7.696,152,33,0,3.012,0,0,0
140b8c36f8a5f72e5b2d8b65f558246b67f41524,40,7.875,156,37,0,3.068,0,0,0
602c7a8c532a04c703d6f1d55c388c3cc01d3b00,160,33.940,156,63,0,3.653,9,0,0
c9cf01835da0977cfe01fb7dad3d2aac5470b598,35,8.452,155,46,0,3.232,0,0,0
36d2668067bc98d91529a332fe6084bfddba3999,160,33.831,155,47,0,3.278,8,0,0
e4e17f7bebb2ad6e390e6ac7356fae90b0cc250e,33,8.275,155,46,0,3.267,0,0,0
ca0120d69ea86fdf59c89c87e300a2ec2307476d,0,3.114,155,0,0,3.268,0,0,0
f25cebd528632d3100f4d7701e79f622d3754843,17,6.932,155,4,0,3.273,0,0,0
455a03aa215f6362bc10cefb5e691d28246b2ebc,160,84.468,155,154,0,4.107,9,0,0
sum,1216,303.681,3019,887,0,63.961,28,0,0
arith_mean,67.56,15.18,150.95,49.28,0,3.20,5.60,0,0
geo_mean,48.87,10.14,150.90,39.09,0,3.19,3.65,0,0
