SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
a2b382da0a7424c9861da2750b40f332543314eb,0,54.695,0,0,0,4.685,5,0,0
5985fb7361c4b21cf789a9f5d89276afaa49674a,0,55.045,0,0,0,3.435,5,0,0
10777466f2c5ea11e738f55430a70c911ce6c4cb,0,54.390,0,0,0,3.436,5,0,0
4926c32d147a7ace1b1729cffb3f106783b2e921,0,54.221,0,0,0,3.497,5,0,0
236ec5483c17b297a683493c74e55dcacbb6984f,0,54.203,0,0,0,3.459,5,0,0
9e6ce7196f8fe36bd28ec96ba27d7d8ce7d4924c,0,54.140,0,0,0,3.476,5,0,0
42e821c9948d2759c066fa35ab59ebf7a42ce70d,0,54.045,0,0,0,3.419,5,0,0
dbece6b01144f7ec8ba4365895666ad0dbf7f53d,0,54.740,0,0,0,3.450,5,0,0
922ccf0ce7597ce419fe208e67078b4ed7a0d047,0,54.854,0,0,0,3.438,6,0,0
34ce5b5f35adfbcbb5973de648987530cc9e7057,0,54.785,0,0,0,3.466,6,0,0
sum,0,545.118,0,0,0,35.761,52,0,0
arith_mean,0,54.51,0,0,0,3.58,5.20,0,0
geo_mean,0,54.51,0,0,0,3.56,5.19,0,0
