SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
08aa0c35e50780188b8e5c6f68d858ff591a2855,160,87.605,0,43,319,7.525,12,0,0
ed381a9db75775eda38984059fe003a75ca65924,7,17.620,0,8,48,6.743,0,0,0
2fd2e07c61df687809c5764fbaffd45f9669694f,160,88.193,0,15,345,11.012,12,0,0
07b98e6fd7fa09ffce013db29491574a91256349,0,11.479,0,1,1,7.453,0,0,0
5091ef4a3d9f64f6bd9fbc6dc1a3e58e24cfe3e9,1,18.581,0,24,353,7.507,0,0,0
f6896db1a208b2f7bdc708a183dc8dd66e412c1c,0,12.807,0,1,1,6.932,0,0,0
23bd02f349339bb4df52e53d2fde0b6736312792,0,10.209,0,1,1,101.313,0,0,0
e4e537ad9e6fc86fddc21af1aec30a9b054c617b,0,6.364,0,0,0,14.771,0,0,0
980357c7a67e9131ff95195caa8876f447931b8a,22,14.265,0,25,365,6.825,0,0,0
6885ee6884752cef80c8e34ec6800005cf5f7c58,0,11.121,0,7,15,6.549,0,0,0
337a9fe571d0fc8205cf6c7746b939e58c3f92cd,160,81.256,0,21,352,9.146,12,0,0
3f9906667d726deea59486f6a737f2f40c21223b,0,10.803,0,6,65,7.213,0,0,0
f944d366595ef3969e2bc3e2151d4e46c146e5e0,16,13.456,0,16,223,6.973,0,0,0
000d7ffe12599d788bb012087f4acb8cb0a8f291,18,14.012,0,25,398,7.190,0,0,0
ce57f3d54e955e240e7cb7d09e77eafa1f3dda36,0,8.097,0,0,0,7.646,0,0,0
e75622f1377bcdd861f04eb1bb62c98c84b0e421,160,115.972,0,21,340,7.978,11,0,0
0ef6a3ebed9037c7ac49f3ab385d5d5685b8b008,0,11.598,0,7,8,9.879,0,0,0
a32effba2c57e70d9db235721fd129f1291ade96,31,21.181,0,68,609,7.402,0,0,0
54422decba8c4c335bb4d826ea7225d3663e77bc,1,14.325,0,50,440,9.560,0,0,0
ad5cd7fd16d86f3ed4cac33d4987d15c3ac2d6e8,16,14.766,0,50,440,8.629,0,0,0
sum,752,583.710,0,389,4323,258.246,47,0,0
arith_mean,62.67,29.19,-nan,21.61,240.17,12.91,11.75,-nan,-nan
geo_mean,22.21,18.82,-nan,12.02,75.69,9.17,11.74,-nan,-nan
