SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
70884f17,0,9.175,0,0,0,3.152,4,0,0
63b11acb,0,7.971,0,0,0,2.703,4,0,0
6cb9ef0d,0,5.967,0,0,0,2.737,0,0,0
99357456,0,2.874,0,0,0,2.735,0,0,0
568edb17,0,2.923,0,0,0,2.759,0,0,0
4eae3a52,0,7.076,0,0,0,2.893,4,0,0
9cf55afe,0,6.548,0,0,0,2.742,4,0,0
b36c822b,0,7.615,0,0,0,2.910,4,0,0
0282d3ab,0,7.630,0,0,0,2.895,4,0,0
46c9bfae,0,7.788,0,0,0,2.743,5,0,0
e05ce19a,0,7.620,0,0,0,2.802,5,0,0
58e9e9e4,0,8.063,0,0,0,2.778,5,0,0
9e4120fd,0,5.756,0,0,0,2.778,5,0,0
788b61cb,0,2.866,0,0,0,2.746,0,0,0
bb62b496,0,6.673,0,0,0,2.758,4,0,0
b9f73275,0,6.886,0,0,0,2.765,4,0,0
00efff7d,0,7.903,0,0,0,2.712,5,0,0
bb854ee1,0,2.946,0,0,0,2.758,0,0,0
1950b4d7,0,8.233,0,0,0,2.829,5,0,0
a6769045,0,8.260,0,0,0,2.798,5,0,0
sum,0,130.773,0,0,0,55.993,67,0,0
arith_mean,0,6.54,0,0,0,2.80,4.47,0,0
geo_mean,0,6.13,0,0,0,2.80,4.44,0,0
