SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96ae7de82b882c3885c7df0c398795195a381b32,160,43.449,0,25,0,2.996,12,0,0
a1349f23e6f97056bfcabf0b7fcb365c0d1aafad,45,32.028,0,21,0,2.563,12,0,0
60dad5b5225f880bc0c3cf5ae6940bc5fcc8668f,45,31.926,0,21,0,2.575,12,0,0
6eee6741ec6d6ea2a43b8a3d892975719b0b4a60,160,42.761,0,22,0,2.543,12,0,0
99530abdfcf684d207948b9b382293734c581f67,45,32.016,0,23,0,2.563,12,0,0
ca5e99f797dcfee369785cbfd34b656d2ae68b77,52,33.789,0,23,0,2.585,11,0,0
64bc130646a480c8b16e60cb97dc5c1193b15456,52,33.365,0,23,0,2.561,11,0,0
dc871b5092670e6e8a992e1c564c0ac8df12a48f,52,34.230,0,23,0,2.582,11,0,0
80830d148945ea9dfb111ffcc35bf403be006485,52,34.029,0,19,0,2.602,8,0,0
cf6a21f36d5522d7476434e0e7161aebe60198c1,52,34.131,0,19,0,2.587,8,0,0
31ad2a607c60e8c8ed3f9d50f6c7467437f58b3d,52,34.124,0,24,0,2.620,12,0,0
4d18525fe40ef4b90062aa1dbc2cdfe9de0fe6c8,160,43.776,0,38,0,2.645,12,0,0
cb69c8fbebef25b9b1e6ee6ea50f77684d88eda7,160,44.351,0,40,0,2.686,12,0,0
1a5626b1580541cf8885ec46cd90257b0004548d,160,55.908,0,39,0,2.892,12,0,0
fac0b719d8037eab3a464924101d042fe272cd16,160,56.448,0,29,0,2.869,12,0,0
3c6f6a87c754acb3fd9c4680bc5591aefd6c8561,52,42.247,0,39,0,2.927,12,0,0
7494d4a308eaef805df180192bbfd69dd6c31414,52,42.281,0,40,0,2.884,12,0,0
9a8a5ce8d45a86a09c6f44453c366dbc96c15cbd,52,42.010,0,40,0,2.906,12,0,0
9a63a46afb7636e0f12b59ecc5c78f65d43d73bf,52,42.058,0,40,0,2.906,12,0,0
3c31612648a9ca6f7cc999d15e0090e73b6455fe,52,41.770,0,40,0,2.915,12,0,0
sum,1667,796.697,0,588,0,54.407,229,0,0
arith_mean,83.35,39.83,0,29.40,0,2.72,11.45,0,0
geo_mean,71.29,39.25,0,28.20,0,2.72,11.37,0,0
