SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96ae7de82b882c3885c7df0c398795195a381b32,160,43.068,0,25,0,2.996,12,0,0
a1349f23e6f97056bfcabf0b7fcb365c0d1aafad,25,27.625,0,25,0,2.563,8,0,0
60dad5b5225f880bc0c3cf5ae6940bc5fcc8668f,25,27.103,0,25,0,2.575,8,0,0
6eee6741ec6d6ea2a43b8a3d892975719b0b4a60,160,41.032,0,23,0,2.543,11,0,0
99530abdfcf684d207948b9b382293734c581f67,27,27.909,0,27,0,2.563,8,0,0
ca5e99f797dcfee369785cbfd34b656d2ae68b77,22,23.900,0,24,0,2.585,4,0,0
64bc130646a480c8b16e60cb97dc5c1193b15456,22,23.701,0,24,0,2.561,4,0,0
dc871b5092670e6e8a992e1c564c0ac8df12a48f,30,29.366,0,26,0,2.582,7,0,0
80830d148945ea9dfb111ffcc35bf403be006485,0,7.554,0,1,0,2.602,0,0,0
cf6a21f36d5522d7476434e0e7161aebe60198c1,18,7.634,0,22,0,2.587,0,0,0
31ad2a607c60e8c8ed3f9d50f6c7467437f58b3d,25,28.118,0,28,0,2.620,8,0,0
4d18525fe40ef4b90062aa1dbc2cdfe9de0fe6c8,160,44.186,0,40,0,2.645,12,0,0
cb69c8fbebef25b9b1e6ee6ea50f77684d88eda7,160,43.263,0,39,0,2.686,12,0,0
1a5626b1580541cf8885ec46cd90257b0004548d,160,52.466,0,43,0,2.892,12,0,0
fac0b719d8037eab3a464924101d042fe272cd16,160,10.040,0,26,0,2.869,0,0,0
3c6f6a87c754acb3fd9c4680bc5591aefd6c8561,16,27.695,0,24,0,2.927,4,0,0
7494d4a308eaef805df180192bbfd69dd6c31414,31,37.278,0,40,0,2.884,8,0,0
9a8a5ce8d45a86a09c6f44453c366dbc96c15cbd,27,35.287,0,28,0,2.906,4,0,0
9a63a46afb7636e0f12b59ecc5c78f65d43d73bf,15,26.687,0,30,0,2.906,4,0,0
3c31612648a9ca6f7cc999d15e0090e73b6455fe,15,26.392,0,30,0,2.915,4,0,0
sum,1258,590.304,0,550,0,54.407,130,0,0
arith_mean,66.21,29.52,0,27.50,0,2.72,7.65,0,0
geo_mean,41.52,26.33,0,23.93,0,2.72,6.97,0,0
