SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
b41a5183,160,43.545,155,155,0,18.332,0,0,0
b018d98e,36,557.813,155,116,0,17.735,0,0,0
2fdb5b3a,36,42.604,155,117,0,18.607,0,0,0
47ee1b62,35,40.718,156,121,0,18.449,0,0,0
71d6dedd,35,41.536,156,118,0,18.136,0,0,0
6dc5db63,35,35.855,156,117,0,17.853,0,0,0
bfb76e28,,0,,,,0,0,,
811ede4f,,0,,,,0,0,,
bcc2e489,,0,,,,0,0,,
59188929,,0,,,,0,0,,
57af41fa,,0,,,,0,0,,
b01669dc,,0,,,,0,0,,
00e3acda,,0,,,,0,0,,
cd9ce917,,0,,,,0,0,,
cb2b78e4,,0,,,,0,0,,
e435ee51,,0,,,,0,0,,
dbc54155,,0,,,,0,0,,
b019b099,,0,,,,0,0,,
7e3ee5e7,,0,,,,0,0,,
3763da11,,0,,,,0,0,,
sum,,762.071,,,,109.112,0,,
arith_mean,56.17,127.01,155.50,124.00,0,18.19,0,0,0
geo_mean,45.52,63.04,155.50,123.30,0,18.18,0,0,0
