SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bb439097,160,144.047,0,77,578,8.799,6,0,0
9f652e7a,160,143.488,0,41,263,5.329,6,0,0
f7cb9b91,28,289.879,0,36,195,5.252,5,0,0
3afb0a43,28,288.950,0,42,239,5.503,5,0,0
dd00c81c,0,5.298,0,0,0,5.549,0,0,0
96c13096,0,9.531,0,16,135,5.377,0,0,0
04698b21,0,4.592,0,0,0,5.147,0,0,0
1fd0a702,24,256.962,0,34,185,5.394,3,0,0
d77a3cfd,39,310.189,0,37,214,5.506,5,0,0
ed4fa984,1,13.405,0,44,371,5.309,0,0,0
094c2cb4,27,293.318,0,36,198,5.505,5,0,0
014cc932,1,13.769,0,44,372,5.406,0,0,0
427bb666,0,10.195,0,36,202,5.563,0,0,0
eb052c36,1,12.816,0,35,202,5.124,0,0,0
e060e937,17,145.932,0,21,83,5.670,2,0,0
d75e3d25,34,282.164,0,36,198,5.559,4,0,0
9909973e,34,287.980,0,36,198,6.339,4,0,0
bf213349,34,281.768,0,36,198,5.339,4,0,0
81f94cd4,0,10.582,0,60,487,5.127,0,0,0
5162ef9a,46,398.411,0,66,598,5.948,5,0,0
sum,634,3203.276,0,733,4916,112.745,54,0,0
arith_mean,42.27,160.16,-nan,40.72,273.11,5.64,4.50,-nan,-nan
geo_mean,19.03,66.86,-nan,38.39,241.70,5.60,4.33,-nan,-nan
