SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
e3514b997c79a0c023ce4de835d6b19c17695f80,160,45.381,199,199,0,4.003,1,0,0
f00ded57b7aea7fbb0bef0aca7b889fb25f88974,68,9.546,199,77,0,3.471,0,0,0
e703bbe63b6d84e8a5b04342392594bc67bda34d,68,9.241,199,76,0,3.459,0,0,0
718c7e25cdb129d6405ca8e7358b535c80b15c1e,72,14.872,200,158,0,3.487,0,0,0
cdfc73b038a82609c3e1545430364e31283ba028,74,15.127,200,159,0,3.550,0,0,0
835c783e9270f8e2fcff98846ef7cae7051c1754,6,7.069,200,1,0,3.539,0,0,0
1f5afe1466c5b5b1c68b7ff91d8947400a5c1b75,71,11.164,200,91,0,3.529,0,0,0
e94b1c16d94082b86ac928a555a3f98a3ba60bab,77,11.186,200,93,0,3.542,0,0,0
f0c9827ff637d1c8c078e4d7c1ebabb8927d49da,78,11.821,201,107,0,3.533,0,0,0
abe517fe65a5f0839763120b5350e6ea0d0da1ea,72,11.499,203,93,0,3.762,0,0,0
dab8351313c664117e248afff1f4fa11b26bfd5e,45,8.904,203,56,0,3.737,0,0,0
d5e280bf6716fc6eeea37f294bfc6420edf5caa6,46,8.757,203,57,0,3.755,0,0,0
941ff616e9a044f82e5ee5c4b6460ac8d36d6bb8,74,15.202,204,155,0,3.763,0,0,0
2a4a9522fd4117cbe52aea7bd5d3de5b5e448bc2,72,13.877,205,107,0,3.808,0,0,0
4760caa9533a78061a376124c1dad382dfae2451,68,10.492,205,92,0,3.766,0,0,0
42c0f0fead1e3dd4fe9b4ef4590f25c7f98c0bc5,160,59.760,207,163,0,3.915,1,0,0
1391d6c3f64afdabfb8b3f75cd8c39b5f8f2e53c,68,11.213,201,96,0,3.957,0,0,0
976b65794d345cf5c18126c541d06435ef97bedf,78,14.317,201,122,0,3.959,0,0,0
914ab283c014376635e70d86222d92ec0f8cf8fe,73,15.169,202,162,0,3.949,0,0,0
1fa8a112de987db835bd15c906234dd72b9e406d,73,14.792,202,160,0,3.949,0,0,0
sum,1503,319.389,4034,2224,0,74.433,2,0,0
arith_mean,75.15,15.97,201.70,111.20,0,3.72,1.00,0,0
geo_mean,66.00,13.50,201.69,86.83,0,3.72,1.00,0,0
