SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
9435e5252e70babd05539c857f0fce17c9c7cb3d,160,76.741,0,164,873,6.976,19,0,0
f2d1889c11e6abc68d1518ddca8c6870ae47e300,38,10.074,0,13,32,6.352,0,0,0
e2a67fc8b3e1568e60a01da44a4f551cf0f399b8,47,9.963,0,85,373,6.366,0,0,0
554a524af2d2b30d09505516adc412468a84d8fa,160,73.429,0,95,545,6.380,19,0,0
3a144732ddd24e4b1fac3e3d9cbd0370314e48d6,25,9.854,0,1,1,6.367,0,0,0
bf1b3b3f9ccf965b8a5dd5f38e63274dfef5378a,160,81.560,0,165,1045,6.959,19,0,0
873df3755f00cb12119a8646fa0a1ce0cf431c8c,160,75.266,0,165,1048,6.380,19,0,0
e83fe79a4083496dcbf87e29645e4dbe578957f0,35,10.424,0,10,23,6.375,0,0,0
322c261bbb6fd36162716abc3474e44f03c9a796,51,12.106,0,108,458,6.421,0,0,0
6e0d8beb6fe1b3242ab1904065d8bd29d7da2e00,4,9.526,0,3,14,6.359,0,0,0
b2bed20f32897bd7f582a1752ba0a5f2a6799191,160,80.135,0,100,565,6.505,19,0,0
b72cbaf5080b37c3c2bed2bb7ebd0bbb29183fd0,49,11.996,0,61,132,6.498,0,0,0
5b301ba50d647d4993635adcc3dc9eca0745f0c9,0,9.331,0,1,1,6.495,0,0,0
084f488f87a12de0657400c066a71c3b0b4b36fd,2,9.739,0,2,2,6.487,0,0,0
10d22fcb31027635156e722e62685a1932fab515,52,12.542,0,112,687,6.576,0,0,0
46a4d9e300f90db33758e2d058ef5ade9b094aae,0,4.089,0,0,0,6.511,0,0,0
997320f3270e3189b7bf2c960624f3f7a6c340b0,160,75.313,0,5,7,6.902,19,0,0
2d26e32c9520dd5764ad449b6a2471467ce63599,160,80.854,0,1,1,6.626,19,0,0
7b7f48cef921c8128fec0541780ecd8300249f21,51,10.447,0,109,662,6.682,0,0,0
f52f0d077e038a4ab2c9b934691300f74e0cd96e,25,10.275,0,1,1,6.633,0,0,0
sum,1499,673.664,0,1201,6470,130.850,133,0,0
arith_mean,83.28,33.68,0,63.21,340.53,6.54,19.00,0,0
geo_mean,51.06,20.14,0,18.45,52.22,6.54,19.00,0,0
