SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
9435e5252e70babd05539c857f0fce17c9c7cb3d,160,76.390,0,164,873,6.976,19,0,0
f2d1889c11e6abc68d1518ddca8c6870ae47e300,2,13.320,0,36,177,6.352,0,0,0
e2a67fc8b3e1568e60a01da44a4f551cf0f399b8,26,46.418,0,146,878,6.366,3,0,0
554a524af2d2b30d09505516adc412468a84d8fa,160,74.040,0,148,1050,6.380,19,0,0
3a144732ddd24e4b1fac3e3d9cbd0370314e48d6,11,22.805,0,1,5,6.367,1,0,0
bf1b3b3f9ccf965b8a5dd5f38e63274dfef5378a,160,82.674,0,171,1045,6.959,19,0,0
873df3755f00cb12119a8646fa0a1ce0cf431c8c,160,75.284,0,171,1048,6.380,19,0,0
e83fe79a4083496dcbf87e29645e4dbe578957f0,26,46.969,0,67,365,6.375,2,0,0
322c261bbb6fd36162716abc3474e44f03c9a796,37,53.856,0,161,1082,6.421,3,0,0
6e0d8beb6fe1b3242ab1904065d8bd29d7da2e00,4,14.744,0,78,609,6.359,0,0,0
b2bed20f32897bd7f582a1752ba0a5f2a6799191,160,80.056,0,156,1089,6.505,19,0,0
b72cbaf5080b37c3c2bed2bb7ebd0bbb29183fd0,28,52.525,0,142,646,6.498,2,0,0
5b301ba50d647d4993635adcc3dc9eca0745f0c9,0,9.384,0,5,28,6.495,0,0,0
084f488f87a12de0657400c066a71c3b0b4b36fd,18,42.717,0,68,365,6.487,2,0,0
10d22fcb31027635156e722e62685a1932fab515,36,57.100,0,167,1130,6.576,3,0,0
46a4d9e300f90db33758e2d058ef5ade9b094aae,0,4.070,0,0,0,6.511,0,0,0
997320f3270e3189b7bf2c960624f3f7a6c340b0,160,76.035,0,72,383,6.902,19,0,0
2d26e32c9520dd5764ad449b6a2471467ce63599,160,81.011,0,21,112,6.626,19,0,0
7b7f48cef921c8128fec0541780ecd8300249f21,25,40.135,0,168,1029,6.682,1,0,0
f52f0d077e038a4ab2c9b934691300f74e0cd96e,11,23.957,0,1,5,6.633,1,0,0
sum,1344,973.490,0,1943,11919,130.850,151,0,0
arith_mean,74.67,48.67,0,102.26,627.32,6.54,9.44,0,0
geo_mean,38.16,38.16,0,54.56,317.26,6.54,5.07,0,0
