SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|,|VMS\STARTS+CLASSES_ps1c|,|STARTS+CLASSES_ps1c\VMS|,|VMS\FINE_STARTS+CLASSES_ps1c|,|FINE_STARTS+CLASSES_ps1c\VMS|,|VMS\EKSTAZI+CLASSES_ps1c|,|EKSTAZI+CLASSES_ps1c\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps1c|,|FINE_EKSTAZI+CLASSES_ps1c\VMS|,|VMS\STARTS+_ps1c|,|STARTS+_ps1c\VMS|,|VMS\FINE_STARTS+_ps1c|,|FINE_STARTS+_ps1c\VMS|,|VMS\EKSTAZI+_ps1c|,|EKSTAZI+_ps1c\VMS|,|VMS\FINE_EKSTAZI+_ps1c|,|FINE_EKSTAZI+_ps1c\VMS|
59ba4332c95dce61a22989890ee49d8e2e5c2d98,9,9,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
16cd72b20ba9f36a184b170f01c4a4a1db80bdbd,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868524732babecd9e88f1a5c2cd65d672f62fafd,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61b0faf17728e28afac1240c3a565f95b083183b,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc65a0b33398eac6e0f80d480ccb16fa13f33b9a,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19b9d73a1be5bba5890b194260d115d664c8b5ce,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01f7076cabdeb4444bf0606b4c88daf93a436af4,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa5c19032459214bbb241202e435cfd2f21bbf43,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ff50d7b60ad15fed7ed294ca2295cb356cbc4273,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b66d3d543982755f1d2397066ac9ccbc5ba8c327,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414da301b9d58f7cc169a70bb7e68fe71e02822c,9,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647b93bc63c3bc3a43310e00e80f1bd86a5a3963,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e11279525524d12f8eb4687b1f4e926d75bf1371,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40dfa0cf36d844ca733bef0d4a61e87c9339af2c,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4cd975b9649ec87f9a71ce48916fba8d9d460e4e,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca12c7bafd2d7033f8cff7770ecf2260d45aa4ab,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08c7148ab302a364517f993c0fda33b1dca7bfe6,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a5694ac69113d815dd6588775dbccf22747f556b,9,0,0,0,9,0,0,0,0,0,0,0,8,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384395d53cccde5a93932dba78328a5888db7ee8,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f5b1b622d2d4141898bf850bd3cd54ee3d153aa4,9,0,0,0,9,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,180,9,0,0,162,9,0,9,0,9,0,0,151,0,150,0,142,0,127,0,142,0,127,0,119,0,127,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
