SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
7ba41ad23656dc86f201ad3f5979f221c5b5d8d7,160,54.387,125,125,0,0,5,0,0
d01b718dfb0b74c80d87871d7bb464cfdb38668d,3,14.151,127,125,0,0,0,0,0
36076e72d4f6d60276ca3b1fc7e5d896e20f17ab,5,14.909,128,126,0,0,0,0,0
8a6d8b759a6196f02664f4c95677335168a8dcda,5,14.923,128,125,0,0,0,0,0
ff6b04f5510e90cc2105792f0be7354ec64cd891,5,14.899,129,126,0,0,0,0,0
44ce35b1bbc43659e15a34fdcf1ea0301a16daa4,4,14.518,130,121,0,0,0,0,0
5066da8dbaa6f5cdaf1e685c2e33f3fcab249704,5,14.873,130,127,0,0,0,0,0
e1140a27b8a0f489192c1773831759152f4a2bcd,5,15.960,132,129,0,0,0,0,0
b52d9c7e59ca2fa01c2cb143e51c2331603bc6b9,36,38.564,134,129,0,0,1,0,0
ed947c782bc3ca07730eb9765b839577457693d3,36,40.300,133,131,0,0,1,0,0
487db04fe231052e55148939c8a0a8845a0fc089,38,42.567,134,133,0,0,1,0,0
a684bfcb4dfff6239a7f9eabe7c156d5413a8e20,38,45.550,135,134,0,0,1,0,0
ead26267a24b9a451d3f96f75b06fa6dbfc660f1,38,42.576,137,136,0,0,1,0,0
4efd8018e7710352af8c0cf22c45934b289af927,38,37.190,137,136,0,0,1,0,0
060f3f166946dcb9ef8e1c540cb313e7290ddce6,38,37.081,138,137,0,0,1,0,0
31554bf6bf41970db5b39390bcf681c636f3a87c,38,41.016,138,137,0,0,1,0,0
d26ca579d042037d5b4b087986be62bff8e4c132,38,38.380,146,145,0,0,1,0,0
e3529a9d31fe7917dc2b7f8898464de49c8b66d1,38,37.707,147,145,0,0,1,0,0
260eb94cd0edb6b2ee3309d15b48f6fbe940eaa8,38,36.371,148,147,0,0,1,0,0
35190318898130305c25f46e3c6ec273a7366b64,38,40.118,150,149,0,0,1,0,0
sum,644,636.040,2706,2663,0,0,17,0,0
arith_mean,32.20,31.80,135.30,133.15,0,0,1.31,0,0
geo_mean,19.25,28.61,135.11,132.91,0,0,1.13,0,0
