SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
7ba41ad23656dc86f201ad3f5979f221c5b5d8d7,160,53.071,0,124,836,0,5,0,0
d01b718dfb0b74c80d87871d7bb464cfdb38668d,0,11.522,0,38,214,0,0,0,0
36076e72d4f6d60276ca3b1fc7e5d896e20f17ab,2,15.715,0,63,396,0,0,0,0
8a6d8b759a6196f02664f4c95677335168a8dcda,0,10.806,0,60,259,0,0,0,0
ff6b04f5510e90cc2105792f0be7354ec64cd891,0,12.847,0,70,378,0,0,0,0
44ce35b1bbc43659e15a34fdcf1ea0301a16daa4,0,11.912,0,70,386,0,0,0,0
5066da8dbaa6f5cdaf1e685c2e33f3fcab249704,0,11.333,0,32,159,0,0,0,0
e1140a27b8a0f489192c1773831759152f4a2bcd,0,11.620,0,51,368,0,0,0,0
b52d9c7e59ca2fa01c2cb143e51c2331603bc6b9,32,139.416,0,51,313,0,1,0,0
ed947c782bc3ca07730eb9765b839577457693d3,0,11.866,0,66,271,0,0,0,0
487db04fe231052e55148939c8a0a8845a0fc089,28,48.504,0,53,378,0,1,0,0
a684bfcb4dfff6239a7f9eabe7c156d5413a8e20,0,11.963,0,80,371,0,0,0,0
ead26267a24b9a451d3f96f75b06fa6dbfc660f1,0,12.905,0,96,568,0,0,0,0
4efd8018e7710352af8c0cf22c45934b289af927,0,13.583,0,41,317,0,0,0,0
060f3f166946dcb9ef8e1c540cb313e7290ddce6,0,13.375,0,42,334,0,0,0,0
31554bf6bf41970db5b39390bcf681c636f3a87c,0,80.673,0,0,0,0,6,0,0
d26ca579d042037d5b4b087986be62bff8e4c132,1,15.455,0,86,758,0,0,0,0
e3529a9d31fe7917dc2b7f8898464de49c8b66d1,0,12.317,0,96,532,0,0,0,0
260eb94cd0edb6b2ee3309d15b48f6fbe940eaa8,0,13.414,0,37,177,0,0,0,0
35190318898130305c25f46e3c6ec273a7366b64,18,38.421,0,58,404,0,1,0,0
sum,241,550.718,0,1214,7419,0,14,0,0
arith_mean,40.17,27.54,0,63.89,390.47,0,2.80,0,0
geo_mean,13.15,18.99,0,59.93,357.38,0,1.97,0,0
