SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
7eff5259543ef6f0253df935c4c075fdbfa9c45d,160,15.204,0,123,0,3.551,1,0,0
5f9e38160ccc9c39acace864868d27ac95c0d5c7,43,11.077,0,116,0,2.839,0,0,0
b4e68d5cc97e689b19f63dff32bb65e3b64e81dd,43,11.134,0,97,0,2.773,0,0,0
418685bfa734830f263bd78cd60d67cd35e03f70,43,10.959,0,96,0,2.818,0,0,0
2f585d1823d3822cd6475f7ae0e855a3a4a01880,43,11.154,0,101,0,2.763,0,0,0
a1796c630a5a04dc8845902b0858404cd8666691,43,11.014,0,98,0,2.856,0,0,0
57ad5b208e7233bd3bee4f1bc1dc91533215ce09,43,11.029,0,98,0,2.812,0,0,0
b47a4f6d7be0820c731dcfadad11288ce11669c2,43,11.448,0,112,0,2.837,0,0,0
820bf04bd3946d1b1c25c3ac75934f4cfde0e7bd,0,3.451,0,0,0,2.840,0,0,0
08fb362983edd2b0be133a00b65860cf26a6a09b,43,10.851,0,101,0,2.822,0,0,0
f8f2e92b874d391ff0a9fe2bec9a5c2610e8833d,43,11.154,0,125,0,2.810,0,0,0
6b129102006eada7fb403cd3bd58af3c729e2bc6,43,10.975,0,110,0,2.775,0,0,0
d84a02c655376859b3ce7794b958d0101e4aeeb7,43,11.077,0,114,0,2.860,0,0,0
2c2fe42a3828193f2f90339a32500400f21380d8,43,11.002,0,109,0,2.840,0,0,0
2280dd1fc46a37bb725a02cb5ab2d27a74cb4f08,43,11.408,0,129,0,2.795,0,0,0
443cc3b7a131b127cfc7ca87c7ef8a8789892d0d,43,11.168,0,120,0,2.884,0,0,0
7f5bf50b5d32feae5194211517b96612cb249618,43,11.523,0,135,0,2.821,0,0,0
83a8dfc65102c3b8931ceb7c72364b1b579ce5fb,0,3.517,0,0,0,2.837,0,0,0
3b23fc31ab415304d24ad84956d4ff8f5bf15011,160,18.877,0,151,0,3.145,5,0,0
4d1659e781f21561c3ec0e7b6e68c0668dee2d0f,43,14.100,0,132,0,3.109,0,0,0
sum,1008,222.122,0,2067,0,57.787,6,0,0
arith_mean,56.00,11.11,0,114.83,0,2.89,3.00,0,0
geo_mean,49.76,10.46,0,113.88,0,2.88,2.24,0,0
