SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8a413067f0fa1fca5392740a538fd8b1276ba213,160,11.201,6,6,0,2.341,0,0,0
499f55f335ef36842d44b966416031fcc606a5d1,29,7.229,6,5,0,1.992,0,0,0
f359660f971aee4003b539bcd7cf0161974f8221,160,12.076,29,23,0,2.830,2,0,0
e57507a2d2a55a073e49c34ba66079fe554e68eb,37,9.662,23,17,0,2.556,2,0,0
0dbc32a2f0894cb6e0ebb47345f0c93e81098ea2,37,9.586,24,18,0,2.592,2,0,0
4ec60c869b56723e941f9eb5ecdabbd7535aad94,37,9.114,24,12,0,2.621,2,0,0
39da7e02834096d3a4cfbc3e5236de4d4bad9fd8,160,60.849,26,20,0,3.179,2,0,0
75c9556e4432afe896daeff3b73f299438eec8c7,44,9.935,26,18,0,2.785,2,0,0
8935f9939efc31b3acb874802dbd9e08306afd66,44,9.558,26,16,0,2.791,2,0,0
43624aa653b30d7667b25c37fa7e2de5f09acd8a,43,9.832,26,13,0,2.839,2,0,0
365758463762f2e9b83aa27e1df877d11797731c,6,7.252,27,1,0,2.784,0,0,0
81791cbd50aff62a7254c3ff9cb1657a05e7d7db,18,7.371,29,2,0,2.884,0,0,0
e68ff53de73d6cdc14e54d87878d39302f4b6c09,44,11.953,30,25,0,2.835,2,0,0
3205f39ced771f4068dd36cfda78dc42dc3be65d,160,47.289,29,21,0,3.723,2,0,0
618eea344c257e82ca132b1954f73abd717e9f30,160,53.725,29,23,0,3.863,2,0,0
b610826f6f0363caac0413fbf6bef48b4100612d,160,115.297,29,29,0,3.583,2,0,0
cc815143e2bbcee8a4481baa6a803ea57b9b63ab,160,-52.210,29,1,0,3.546,0,0,0
32e4a6ffaa7a02592e8b9623d67e284e67a6a451,160,-62.518,30,20,0,3.116,2,0,0
sum,1619,277.201,448,270,0,52.860,26,0,0
arith_mean,89.94,24.50,24.89,15.00,0,2.94,2.00,0,0
geo_mean,63.07,15.27,22.96,10.56,0,2.90,2.00,0,0
