SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
767e5ef237544640bbf638a145317c223c4525ab,160,59.872,0,44,0,3.993,8,0,0
441a17e9cede9cc73dc2860e29d779a85fd99e99,17,31.845,0,40,0,3.609,3,0,0
11c857e7eb359fcabd6ce7e0a02cd7ad773b0d9c,1,12.770,0,58,0,3.771,0,0,0
e5ac9345dcda19981fe521530708e8f24537deaa,160,62.965,0,71,0,3.721,10,0,0
b22ddbf0544d9e019c41af70f1320497eedc867a,9,14.814,0,69,0,3.918,0,0,0
0904f0e9cc3d73cb94dda690b3b4fbeefe828e9c,160,64.359,0,78,0,4.331,10,0,0
6efd85b2d8267d554293eadd608c9963f81e0478,0,10.094,0,54,0,4.281,0,0,0
cd68eb8dca18760d77d010569aab938c766e19c2,0,12.173,0,79,0,6.143,0,0,0
6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,0,10.202,0,78,0,4.229,0,0,0
f8d9f00c7bb21541d0986666be4b74d47a85f9f6,0,12.208,0,83,0,6.217,0,0,0
4f91dd1bb29f23e20233e4a95ad00feb575259d6,19,36.931,0,61,0,6.248,6,0,0
86016c7dfc776f582b001c9b34d26f332128db8b,0,11.589,0,63,0,5.829,0,0,0
638c1ddf47aa4e7acdfc2cc537666c93f8dead1c,11,141.605,0,64,0,5.693,0,0,0
427b91e5708f78fdb018c00b2148e95a3c4aa008,28,169.861,0,88,0,5.773,6,0,0
ac1e3a43da2469c62dce19e8111b011756f1f08c,17,8.060,0,64,0,5.846,0,0,0
62c060ad12fdd998ec0aaef20867bdc1647c35d0,160,146.746,0,90,0,6.043,14,0,0
2c93dbab98c656732261bbaa77a35f85241df693,2,14.861,0,89,0,5.992,5,0,0
49d5b5932631a9d640b9dda67f7d1c03ae6c9a58,5,19.876,0,59,0,6.005,5,0,0
27b7842bf5ba2847b350421d1ac555988a402e97,17,35.373,0,87,0,3.598,2,0,0
15954a0aa18244e151963a0fcd5274d5849929a5,0,9.445,0,79,0,3.585,0,0,0
sum,766,885.649,0,1398,0,98.825,69,0,0
arith_mean,54.71,44.28,0,69.90,0,4.94,6.90,0,0
geo_mean,20.05,26.39,0,68.28,0,4.82,6.00,0,0
