SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
767e5ef237544640bbf638a145317c223c4525ab,160,71.106,56,56,0,3.993,8,0,0
441a17e9cede9cc73dc2860e29d779a85fd99e99,17,10.565,57,33,0,3.609,1,0,0
11c857e7eb359fcabd6ce7e0a02cd7ad773b0d9c,17,10.509,73,55,0,3.771,1,0,0
e5ac9345dcda19981fe521530708e8f24537deaa,160,68.944,87,68,0,3.721,10,0,0
b22ddbf0544d9e019c41af70f1320497eedc867a,9,10.111,81,19,0,3.918,0,0,0
0904f0e9cc3d73cb94dda690b3b4fbeefe828e9c,160,74.849,85,71,0,4.331,10,0,0
6efd85b2d8267d554293eadd608c9963f81e0478,9,10.578,83,28,0,4.281,0,0,0
cd68eb8dca18760d77d010569aab938c766e19c2,0,12.319,136,74,0,6.143,0,0,0
6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,23,11.514,136,73,0,4.229,1,0,0
f8d9f00c7bb21541d0986666be4b74d47a85f9f6,0,12.321,145,84,0,6.217,0,0,0
4f91dd1bb29f23e20233e4a95ad00feb575259d6,22,12.938,89,20,0,6.248,0,0,0
86016c7dfc776f582b001c9b34d26f332128db8b,22,14.987,89,71,0,5.829,0,0,0
638c1ddf47aa4e7acdfc2cc537666c93f8dead1c,28,12.809,89,11,0,5.693,0,0,0
427b91e5708f78fdb018c00b2148e95a3c4aa008,28,13.157,95,27,0,5.773,0,0,0
ac1e3a43da2469c62dce19e8111b011756f1f08c,26,7.913,95,2,0,5.846,0,0,0
62c060ad12fdd998ec0aaef20867bdc1647c35d0,160,152.225,97,15,0,6.043,14,0,0
2c93dbab98c656732261bbaa77a35f85241df693,28,12.347,97,7,0,5.992,0,0,0
49d5b5932631a9d640b9dda67f7d1c03ae6c9a58,29,12.557,97,5,0,6.005,0,0,0
27b7842bf5ba2847b350421d1ac555988a402e97,29,11.003,98,22,0,3.598,1,0,0
15954a0aa18244e151963a0fcd5274d5849929a5,41,10.959,94,73,0,3.585,1,0,0
sum,968,553.711,1879,814,0,98.825,47,0,0
arith_mean,53.78,27.69,93.95,40.70,0,4.94,5.22,0,0
geo_mean,33.83,17.28,91.42,27.94,0,4.82,2.82,0,0
