SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
4cc301f9374b141e07fde7cfbb5e587669e8baad,160,19.034,0,30,0,4.808,1,0,0
ad7cd80aa311801c2529438fb2efd4a73420b491,160,21.782,0,22,0,6.196,1,0,0
647e9536565500df13d5f3584d098d2b7de9132b,7,14.946,0,13,0,8.348,0,0,0
be7a2e19c587150f0ebeec0cda09d3efbcb99a30,7,15.122,0,13,0,8.372,0,0,0
380957092c17b73d2fe3493b75639b5894ed1600,7,15.062,0,11,0,8.362,0,0,0
c213f313c17a4161b30b41e0d9896f42c4333f8b,7,15.109,0,12,0,8.468,0,0,0
f88b6a578907a3951c344f723fcf7612e98b31a4,0,13.292,0,20,0,8.363,0,0,0
bfc67b2c33abcc215ea5ec691beb24cf1c4405ae,160,22.212,0,11,0,8.374,1,0,0
97abe0865559a0f8abd98e9519f51613b0df80ba,160,22.729,0,27,0,8.404,1,0,0
e26b35b55a963d8379e5c2cf1104bd5a86afeca3,33,18.554,0,24,0,8.341,1,0,0
1c8961061d594a4b5036b8c8fa018d01bc214332,24,19.837,0,8,0,10.844,1,0,0
3e34b55f92e41bd052830dc67eb2224dc4407985,4,17.474,0,8,0,10.820,0,0,0
278f34213cd95b3afc0ed002d1440853ba3f33c9,160,26.210,0,35,0,10.974,2,0,0
082ae2bf09f7380b61a084832c18546757c371ed,17,11.982,0,10,0,2.947,0,0,0
4d26c8afbe19ff3949c4805f3e3467b96a3fa329,160,17.324,0,7,0,2.960,0,0,0
526b6eb28a6d6dcee4df9599e3e4a6a4f3c29504,19,42.259,0,7,0,3.239,0,0,0
29087a578e4c0262169c15728aa6297f19f1c31b,18,102.942,0,4,0,3.258,0,0,0
b2b689b6e9986cdb17d4153c67f6cbcf414fd6e7,160,107.817,0,5,0,3.486,0,0,0
d88949f1363849f8b39cdea934be4f650302de2d,22,102.603,0,4,0,3.580,0,0,0
ac5cdd4cd0500100d01c12ffbfe94f6b70f1739d,21,102.874,0,3,0,3.459,0,0,0
sum,1306,729.164,0,274,0,133.603,8,0,0
arith_mean,68.74,36.46,0,13.70,0,6.68,1.14,0,0
geo_mean,32.55,26.29,0,10.89,0,6.00,1.10,0,0
