SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
e62c4357c30998c53e58f57bf96af6d4161fefae,0,59.482,0,0,0,9.080,4,0,0
84889ddc96596abc9722bd7e49918ad183ab5264,0,59.562,0,0,0,7.415,5,0,0
acf94238558df6351df7518d6770eee3c9eb74b3,0,65.100,0,0,0,8.266,6,0,0
eadcc34b295d1c8e7a7b71747927cc84d5cfff04,0,58.178,0,0,0,7.668,4,0,0
2a3d527692b84600b402e8374e2828178e6b6074,0,58.211,0,0,0,7.486,5,0,0
e468fd406d5fe199b7a81bfea710d8dd06544384,0,63.973,0,0,0,7.705,6,0,0
28300ba17102a82578b5a43de1bda75d998ff053,0,62.972,0,0,0,7.763,5,0,0
48911d8ad6e94637db88f49328d935b1098e30c9,0,59.180,0,0,0,7.799,6,0,0
868b4ef3b4374f696731d4cdfd5b696de021ca45,0,61.422,0,0,0,7.300,6,0,0
c5c311adc95449c472eb37c77e4a17e044fb51e7,0,58.153,0,0,0,7.464,4,0,0
6fee973deae4da8ceb40d64a6de88d9fd331acb6,0,60.232,0,0,0,7.686,6,0,0
280e3326ca30746a4db66ccde2a7073da3142a07,0,58.794,0,0,0,7.561,5,0,0
a574b245044e988a2a2324af67987a239b98756f,0,57.562,0,0,0,7.537,5,0,0
330acc5081e9f7451c95e40df86992151474c08a,0,58.844,0,0,0,7.648,4,0,0
b29b2f1c38f2d00e91cd5c676e65d6ec1e4ce576,0,59.018,0,0,0,7.885,6,0,0
e7a0c412b94c97ff49e4cfac539c243f46821f11,0,68.918,0,0,0,8.046,6,0,0
de938fd4c6987511b1edf6c076507a7ce972d063,0,59.766,0,0,0,7.812,6,0,0
bcb9da8213a12e7f6043e072bdc1902b274a2025,0,60.056,0,0,0,8.204,4,0,0
65d321b58adbf6a9f07d98fd0141883a33de740f,0,59.758,0,0,0,7.836,7,0,0
7cfc170989c3ecec86bc7c6c95876f498ed0ec1c,0,65.797,0,0,0,7.526,6,0,0
sum,0,1214.978,0,0,0,155.687,106,0,0
arith_mean,-nan,60.75,-nan,-nan,-nan,7.78,5.30,-nan,-nan
geo_mean,-nan,60.68,-nan,-nan,-nan,7.78,5.22,-nan,-nan
