SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
7ba41ad23656dc86f201ad3f5979f221c5b5d8d7,160,50.516,0,124,836,6.529,5,0,0
d01b718dfb0b74c80d87871d7bb464cfdb38668d,5,10.061,0,9,94,4.947,0,0,0
36076e72d4f6d60276ca3b1fc7e5d896e20f17ab,28,9.703,0,32,272,5.911,0,0,0
8a6d8b759a6196f02664f4c95677335168a8dcda,25,9.584,0,6,16,5.735,0,0,0
ff6b04f5510e90cc2105792f0be7354ec64cd891,20,9.841,0,6,54,4.965,0,0,0
44ce35b1bbc43659e15a34fdcf1ea0301a16daa4,17,9.887,0,5,37,5.263,0,0,0
5066da8dbaa6f5cdaf1e685c2e33f3fcab249704,3,8.908,0,3,9,5.420,0,0,0
e1140a27b8a0f489192c1773831759152f4a2bcd,28,10.250,0,22,155,5.760,1,0,0
b52d9c7e59ca2fa01c2cb143e51c2331603bc6b9,35,10.465,0,32,278,5.049,1,0,0
ed947c782bc3ca07730eb9765b839577457693d3,28,10.625,0,9,110,5.020,1,0,0
487db04fe231052e55148939c8a0a8845a0fc089,38,10.626,0,31,198,5.146,1,0,0
a684bfcb4dfff6239a7f9eabe7c156d5413a8e20,28,10.056,0,14,128,6.085,1,0,0
ead26267a24b9a451d3f96f75b06fa6dbfc660f1,31,10.903,0,19,156,5.101,1,0,0
4efd8018e7710352af8c0cf22c45934b289af927,6,10.268,0,4,18,5.383,0,0,0
060f3f166946dcb9ef8e1c540cb313e7290ddce6,6,9.162,0,5,39,5.300,0,0,0
31554bf6bf41970db5b39390bcf681c636f3a87c,0,5.735,0,0,0,5.441,0,0,0
d26ca579d042037d5b4b087986be62bff8e4c132,31,10.464,0,18,173,5.518,1,0,0
e3529a9d31fe7917dc2b7f8898464de49c8b66d1,31,10.633,0,13,139,5.551,1,0,0
260eb94cd0edb6b2ee3309d15b48f6fbe940eaa8,5,10.158,0,7,67,5.665,0,0,0
35190318898130305c25f46e3c6ec273a7366b64,38,10.849,0,33,309,5.536,1,0,0
sum,563,238.694,0,392,3088,109.325,14,0,0
arith_mean,29.63,11.93,-nan,20.63,162.53,5.47,1.40,-nan,-nan
geo_mean,19.55,10.66,-nan,12.80,95.33,5.45,1.17,-nan,-nan
