SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
59ba4332c95dce61a22989890ee49d8e2e5c2d98,160,52.346,0,69,832,7.267,9,0,0
16cd72b20ba9f36a184b170f01c4a4a1db80bdbd,22,13.600,0,2,4,6.911,0,0,0
868524732babecd9e88f1a5c2cd65d672f62fafd,33,15.762,0,35,329,6.894,1,0,0
61b0faf17728e28afac1240c3a565f95b083183b,33,16.634,0,41,799,6.966,1,0,0
bc65a0b33398eac6e0f80d480ccb16fa13f33b9a,19,14.522,0,29,267,6.977,1,0,0
19b9d73a1be5bba5890b194260d115d664c8b5ce,22,13.901,0,3,10,6.953,0,0,0
01f7076cabdeb4444bf0606b4c88daf93a436af4,27,13.716,0,3,10,6.995,0,0,0
fa5c19032459214bbb241202e435cfd2f21bbf43,27,13.837,0,4,11,6.988,0,0,0
ff50d7b60ad15fed7ed294ca2295cb356cbc4273,27,13.832,0,5,12,6.939,0,0,0
b66d3d543982755f1d2397066ac9ccbc5ba8c327,12,11.982,0,35,323,7.011,0,0,0
414da301b9d58f7cc169a70bb7e68fe71e02822c,0,10.788,0,1,7,6.958,0,0,0
647b93bc63c3bc3a43310e00e80f1bd86a5a3963,43,15.882,0,41,772,8.186,1,0,0
e11279525524d12f8eb4687b1f4e926d75bf1371,0,12.397,0,3,14,8.262,0,0,0
40dfa0cf36d844ca733bef0d4a61e87c9339af2c,0,12.407,0,3,16,8.281,0,0,0
4cd975b9649ec87f9a71ce48916fba8d9d460e4e,19,15.477,0,29,276,8.249,1,0,0
ca12c7bafd2d7033f8cff7770ecf2260d45aa4ab,24,16.636,0,40,443,8.266,1,0,0
08c7148ab302a364517f993c0fda33b1dca7bfe6,24,16.648,0,43,449,8.315,1,0,0
a5694ac69113d815dd6588775dbccf22747f556b,0,12.493,0,3,3,8.295,0,0,0
384395d53cccde5a93932dba78328a5888db7ee8,2,13.044,0,12,68,8.296,0,0,0
f5b1b622d2d4141898bf850bd3cd54ee3d153aa4,2,12.952,0,29,273,8.319,0,0,0
sum,496,318.856,0,430,4918,151.328,16,0,0
arith_mean,31.00,15.94,0,21.50,245.90,7.57,2.00,0,0
geo_mean,20.10,14.88,0,11.02,67.35,7.54,1.32,0,0
