SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bb439097,160,144.527,0,77,578,8.799,6,0,0
9f652e7a,160,155.575,0,41,263,5.329,6,0,0
f7cb9b91,28,23.355,0,36,195,5.252,5,0,0
3afb0a43,28,24.859,0,42,239,5.503,5,0,0
dd00c81c,0,4.984,0,0,0,5.549,0,0,0
96c13096,0,9.143,0,16,135,5.377,0,0,0
04698b21,0,4.956,0,0,0,5.147,0,0,0
1fd0a702,24,21.113,0,34,185,5.394,3,0,0
d77a3cfd,39,24.192,0,37,214,5.506,5,0,0
ed4fa984,1,10.768,0,44,371,5.309,0,0,0
094c2cb4,27,22.910,0,36,198,5.505,5,0,0
014cc932,1,11.283,0,44,372,5.406,0,0,0
427bb666,0,10.064,0,36,202,5.563,0,0,0
eb052c36,1,12.246,0,35,202,5.124,0,0,0
e060e937,17,18.156,0,21,83,5.670,2,0,0
d75e3d25,34,23.491,0,36,198,5.559,4,0,0
9909973e,34,24.581,0,36,198,6.339,4,0,0
bf213349,34,24.169,0,36,198,5.339,4,0,0
81f94cd4,0,9.648,0,60,487,5.127,0,0,0
5162ef9a,46,144.505,0,66,598,5.948,5,0,0
sum,634,724.525,0,733,4916,112.745,54,0,0
arith_mean,42.27,36.23,-nan,40.72,273.11,5.64,4.50,-nan,-nan
geo_mean,19.03,20.56,-nan,38.39,241.70,5.60,4.33,-nan,-nan
