SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
181e276c75b4f462f61b6da22d27b00f9cc33f07,160,46.327,0,47,244,3.782,3,0,0
161f2f7f90a8784f4b0b11e4e139b93af10fdb0a,37,28.107,0,32,208,3.213,3,0,0
c8604865909de5e56c16ecb7bbecd379321056fb,2,8.384,0,3,12,3.206,0,0,0
44ee9f4f1f3d49780f88ef74ec7aa501e3eb2d89,37,27.708,0,32,210,3.242,1,0,0
40f8adc677d2155262cbad6e1771833c2ad33e4f,37,29.124,0,31,205,4.213,1,0,0
1a881c5da7e341ba0530640499800b20ddd8067a,37,29.000,0,32,219,4.184,3,0,0
1429119c504bb39eb00254d80008e7df5e388319,28,26.537,0,7,85,4.190,1,0,0
sum,338,195.187,0,184,1183,26.030,12,0,0
arith_mean,48.29,27.88,0,26.29,169.00,3.72,2.00,0,0
geo_mean,28.89,25.38,0,19.31,125.42,3.69,1.73,0,0
