SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
181e276c75b4f462f61b6da22d27b00f9cc33f07,160,45.090,0,47,244,3.782,3,0,0
161f2f7f90a8784f4b0b11e4e139b93af10fdb0a,0,5.625,0,32,208,3.213,0,0,0
c8604865909de5e56c16ecb7bbecd379321056fb,2,8.772,0,3,12,3.206,0,0,0
44ee9f4f1f3d49780f88ef74ec7aa501e3eb2d89,3,9.196,0,32,210,3.242,0,0,0
40f8adc677d2155262cbad6e1771833c2ad33e4f,0,6.685,0,31,205,4.213,0,0,0
1a881c5da7e341ba0530640499800b20ddd8067a,0,6.600,0,32,219,4.184,0,0,0
1429119c504bb39eb00254d80008e7df5e388319,,0,,,,4.190,0,,
sum,,81.968,,,,26.030,3,,
arith_mean,55.00,13.66,0,29.50,183.00,3.72,3.00,0,0
geo_mean,9.86,9.83,0,22.87,133.82,3.69,3.00,0,0
