SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
4522bb9ddc4b97bd8e705c0f3db3f8ac40e307d1,160,22.856,77,77,0,4.202,26,0,0
85f8b25c1ec8cd6f9c52be9ee9e91957e67bfa05,36,13.945,77,37,0,3.662,26,0,0
a8d410dea8f0f58dcc50c85f98bb85bca9c503bd,34,13.868,92,47,0,3.613,11,0,0
f75bc11df480f854e80b1c1b81cf825d3c733355,23,11.087,101,19,0,3.615,18,0,0
a8087ee62b4a0364f5947b0bf0c0afc8643229a6,34,14.634,95,50,0,3.615,44,0,0
ffec6c73941ac259fb8ffd8b0d1b9781656df0fb,25,11.700,98,12,0,3.649,0,0,0
e95c5e7548bb172a149bb80350aa58aa6e1437a7,25,13.924,131,51,0,3.716,18,0,0
ed62c9b53aefb7ce0a20e6a912530fa2f38a32ad,24,12.369,125,7,0,3.645,9,0,0
6fe1722ce0cbee846ce586cded9a75e37de7637a,160,8.234,125,1,0,3.694,0,0,0
711bd2ded75b241b0cac73c94e8dfa6aafc87540,27,9.950,127,2,0,3.696,0,0,0
cc0d12a7e25f098324e2cfbf17387d449edf3565,17,9.963,129,2,0,3.697,0,0,0
22a605a791345366be02e255cafd5c4ac37673e6,25,10.346,132,3,0,3.729,14,0,0
99d3ae18861ec9e696a3d4ceae31fc401a701ca8,160,64.897,132,3,0,4.105,16,0,0
52fe3322b0bbad223ea58f7cfe45be9e55e4b2e5,36,19.996,134,73,0,4.134,58,0,0
c263f34812860ae719e1ae3b6af164c25c2af428,25,13.784,132,4,0,4.104,14,0,0
259ec0395436c934cd3600c8a964294177cc2a57,0,7.404,132,0,0,4.170,0,0,0
18dc2587ea5502253d6aa2e82a45d197d895dee5,25,15.442,133,7,0,4.115,0,0,0
c7c9aa6c4744188b8b36e84c0721b56da580db83,25,15.589,134,6,0,4.131,0,0,0
c0036a59817bd72d006438249cef92a87ce1c413,25,15.927,136,11,0,4.092,0,0,0
752129deabd609cd535dc761fadfcf2da845d27d,25,15.282,136,9,0,4.132,0,0,0
sum,911,321.197,2378,421,0,77.516,254,0,0
arith_mean,47.95,16.06,118.90,22.16,0,3.88,23.09,0,0
geo_mean,35.16,14.09,116.99,10.47,0,3.87,19.70,0,0
