SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
3fe584867a08a3bddc123066d23d961e9e5d237f,160,17.778,0,48,0,3.064,2,0,0
d3849b8167a2426a3036113c24a6b6358e1d183a,24,8.151,0,3,0,2.511,0,0,0
5931b168859aa25949b953f3e08b377612c78d67,24,8.322,0,3,0,2.553,0,0,0
29037c82dab332ce918f842f71ceb8f4ce424bd2,160,15.986,0,12,0,2.602,2,0,0
78cf2eb3cf151fef35a36285bd2a006894c1d417,160,15.658,0,11,0,2.551,2,0,0
59a7d4cee47e0f6450f9035100ae1bca9408ee27,12,7.666,0,2,0,2.552,0,0,0
b512db9c66ab1269d90471f106b37c11e8213480,0,5.208,0,0,0,2.524,0,0,0
771db7342b1ae2a9a8f44f9ef8488cb37e927599,0,5.279,0,0,0,2.671,0,0,0
51a74f47d08beda645d114cf476aaf796cba7b6c,0,5.681,0,0,0,2.559,0,0,0
9d1c81a15b732ed440253f8b69a67b9529149db7,0,15.186,0,0,0,2.547,2,0,0
7c3061bb186d73b51dc91bd335018c46e761034b,0,5.127,0,0,0,2.559,0,0,0
be29c4d9ef7acb83a8701c1e02d84e590d40de68,1,7.990,0,2,0,2.514,0,0,0
b33fea213e256761d57fc09a4ef4943b6d3c660c,0,5.211,0,0,0,2.666,0,0,0
019fafa4ae7162096fcb22ac9739df6d88268fd6,0,5.164,0,0,0,2.716,0,0,0
2427889aa9bc96496f626bb21c4020e73c9d71d4,26,7.788,0,10,0,2.543,0,0,0
sum,567,136.195,0,91,0,39.132,8,0,0
arith_mean,70.88,9.08,0,11.38,0,2.61,2.00,0,0
geo_mean,30.43,8.16,0,6.23,0,2.61,2.00,0,0
