SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96ae7de82b882c3885c7df0c398795195a381b32,0,3.745,0,0,0,2.996,0,0,0
a1349f23e6f97056bfcabf0b7fcb365c0d1aafad,0,3.267,0,0,0,2.563,0,0,0
60dad5b5225f880bc0c3cf5ae6940bc5fcc8668f,0,3.285,0,0,0,2.575,0,0,0
6eee6741ec6d6ea2a43b8a3d892975719b0b4a60,0,3.330,0,0,0,2.543,0,0,0
99530abdfcf684d207948b9b382293734c581f67,0,3.340,0,0,0,2.563,0,0,0
ca5e99f797dcfee369785cbfd34b656d2ae68b77,0,3.347,0,0,0,2.585,0,0,0
64bc130646a480c8b16e60cb97dc5c1193b15456,0,3.313,0,0,0,2.561,0,0,0
dc871b5092670e6e8a992e1c564c0ac8df12a48f,0,3.342,0,0,0,2.582,0,0,0
80830d148945ea9dfb111ffcc35bf403be006485,0,2.573,0,0,0,2.602,0,0,0
cf6a21f36d5522d7476434e0e7161aebe60198c1,0,2.597,0,0,0,2.587,0,0,0
31ad2a607c60e8c8ed3f9d50f6c7467437f58b3d,0,3.302,0,0,0,2.620,0,0,0
4d18525fe40ef4b90062aa1dbc2cdfe9de0fe6c8,0,3.505,0,0,0,2.645,0,0,0
cb69c8fbebef25b9b1e6ee6ea50f77684d88eda7,0,3.471,0,0,0,2.686,0,0,0
1a5626b1580541cf8885ec46cd90257b0004548d,0,3.758,0,0,0,2.892,0,0,0
fac0b719d8037eab3a464924101d042fe272cd16,0,3.779,0,0,0,2.869,0,0,0
3c6f6a87c754acb3fd9c4680bc5591aefd6c8561,0,3.797,0,0,0,2.927,0,0,0
7494d4a308eaef805df180192bbfd69dd6c31414,0,3.787,0,0,0,2.884,0,0,0
9a8a5ce8d45a86a09c6f44453c366dbc96c15cbd,0,3.771,0,0,0,2.906,0,0,0
9a63a46afb7636e0f12b59ecc5c78f65d43d73bf,0,3.797,0,0,0,2.906,0,0,0
3c31612648a9ca6f7cc999d15e0090e73b6455fe,0,3.783,0,0,0,2.915,0,0,0
sum,0,68.889,0,0,0,54.407,0,0,0
arith_mean,0,3.44,0,0,0,2.72,0,0,0
geo_mean,0,3.42,0,0,0,2.72,0,0,0
