SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
c7087ed66219f4b9b0344c96faa1c512c0461cac,160,36.378,0,40,211,2.909,7,0,0
5bfbb94a6983e6a2c5a9897ceec65fc56e715144,3,11.181,0,11,38,2.484,0,0,0
3af1768025c750cfcefd2460a9145fbb44531c02,17,20.541,0,18,61,2.438,2,0,0
1088992121d8425244a429b572894a572968fc22,0,7.968,0,1,3,2.493,0,0,0
f7bf48fb510989642a40bad1341ab8c71ee410e5,17,20.417,0,23,90,2.473,2,0,0
a03e7067a036d55ad7cbff57f8ad5bb4e0d2afee,160,40.939,0,49,229,2.594,7,0,0
ca5e1057cf3bdf3f64177daf36ea4039d66cad4c,0,7.930,0,19,54,2.605,0,0,0
4d692e9c74488e640bce245a6e6c982464e5423f,0,7.499,0,2,5,2.592,0,0,0
d1fdcfb1f3ae8326411022bbc7bebee07f1948bb,0,8.047,0,45,175,2.602,0,0,0
56d971dc2014597a1919f5e9cebd638fadb8e235,15,23.240,0,8,21,2.643,2,0,0
68471da689d4eb3cbd1b8829106273cda0f1fc40,0,8.356,0,10,35,2.573,0,0,0
893e20e8817b3437630fe390214ab8fb7a8146c0,160,41.891,0,59,233,2.636,7,0,0
dd5a9b404e844ed18862af061338aab9a8a691bb,160,43.608,0,52,203,2.654,5,0,0
f6dbafd31bede6345ef41a6eba3cb930b165707f,160,41.869,0,51,194,2.620,5,0,0
cb8e4d36a320febc3f594ad073c1ae64dd090f6a,160,43.244,0,46,173,2.704,5,0,0
c5c5b42a04013eed865715fbf373466244868a9e,160,42.156,0,46,173,2.656,5,0,0
ce818232fc4bf6154795193f428466bfd59dc4f8,160,42.447,0,48,183,2.668,5,0,0
sum,1332,447.711,0,528,2081,44.344,52,0,0
arith_mean,111.00,26.34,0,31.06,122.41,2.61,4.73,0,0
geo_mean,64.90,21.02,0,20.47,73.46,2.61,4.27,0,0
