SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96b2f21d,160,21.852,22,22,0,2.783,0,0,0
4fddd6d7,32,16.855,22,20,0,2.426,0,0,0
418a1e7b,39,7.739,22,20,0,2.503,0,0,0
721c28e6,160,21.268,22,21,0,2.390,0,0,0
d66a71f7,160,24.960,22,21,0,2.391,0,0,0
6373d176,39,26.445,22,21,0,2.481,0,0,0
bc6ee4fe,39,18.829,22,21,0,2.484,0,0,0
96284293,32,18.184,22,20,0,2.538,0,0,0
6ae5bfdb,39,7.719,22,20,0,2.541,0,0,0
b0a0f225,39,7.752,22,20,0,2.573,0,0,0
a08b598f,0,5.765,22,0,0,2.514,0,0,0
f37f8990,39,18.121,22,21,0,2.431,0,0,0
573ddeed,39,21.453,22,21,0,2.451,0,0,0
93f865dc,39,7.844,22,20,0,2.512,0,0,0
4a710099,39,7.804,22,20,0,2.492,0,0,0
19a16806,39,20.835,22,21,0,2.620,0,0,0
dff59b93,160,7.133,22,20,0,2.456,0,0,0
0ae2846a,39,7.746,22,20,0,2.489,0,0,0
39697872,39,19.707,22,22,0,2.511,0,0,0
97b7d4ca,20,7.920,23,1,0,2.519,0,0,0
sum,1192,295.931,441,372,0,50.105,0,0,0
arith_mean,62.74,14.80,22.05,19.58,0,2.51,0,0,0
geo_mean,49.64,13.04,22.05,17.57,0,2.50,0,0,0
