SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96b2f21d,0,17.081,0,0,0,2.783,0,0,0
4fddd6d7,0,14.355,0,0,0,2.426,0,0,0
418a1e7b,0,2.941,0,0,0,2.503,0,0,0
721c28e6,0,3.042,0,0,0,2.390,0,0,0
d66a71f7,0,3.061,0,0,0,2.391,0,0,0
6373d176,0,20.207,0,0,0,2.481,0,0,0
bc6ee4fe,0,15.903,0,0,0,2.484,0,0,0
96284293,0,15.729,0,0,0,2.538,0,0,0
6ae5bfdb,0,2.968,0,0,0,2.541,0,0,0
b0a0f225,0,3.007,0,0,0,2.573,0,0,0
a08b598f,0,2.951,0,0,0,2.514,0,0,0
f37f8990,0,15.999,0,0,0,2.431,0,0,0
573ddeed,0,3.057,0,0,0,2.451,0,0,0
93f865dc,0,3.005,0,0,0,2.512,0,0,0
4a710099,0,3.046,0,0,0,2.492,0,0,0
19a16806,0,15.764,0,0,0,2.620,0,0,0
dff59b93,0,3.012,0,0,0,2.456,0,0,0
0ae2846a,0,2.930,0,0,0,2.489,0,0,0
39697872,0,15.044,0,0,0,2.511,0,0,0
97b7d4ca,0,3.051,0,0,0,2.519,0,0,0
sum,0,166.153,0,0,0,50.105,0,0,0
arith_mean,0,8.31,0,0,0,2.51,0,0,0
geo_mean,0,5.89,0,0,0,2.50,0,0,0
