SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
ba326e6fb8c8f756ec3b5c1a3c795be0e46ee8a9,0,19.963,0,0,0,4.305,0,0,0
41789cd869b39b07cfd06f25a30dea4aee2574ed,0,3.894,0,0,0,3.726,0,0,0
2e48ef788336a47618a75255a8704bfbde570518,0,18.006,0,0,0,3.720,0,0,0
87d49765ed4947e7b7cc514b3fd5071780c2e2a8,0,17.101,0,0,0,3.757,0,0,0
d34a95893f93227a83f1503086d5c7f5b50b62ce,0,17.553,0,0,0,3.705,0,0,0
3cf022e01a8598c658a0c25d847f42838471c781,0,17.215,0,0,0,3.724,0,0,0
b857077ac8ed7db9f6d09e37107934311fb81f5f,0,50.203,0,0,0,4.277,0,0,0
6af2b8653d1b613e90dfbbde369d5051ae3b00d4,0,49.992,0,0,0,3.838,0,0,0
6f6654f86683a898ac86884cf4e19c193acaac3c,0,49.158,0,0,0,4.131,0,0,0
3495a64ba75287f55d5a26032f48889323d821c6,0,48.595,0,0,0,3.873,0,0,0
990d2f3ba79ecc78adbef48e65b7d1bdd74f010f,0,48.835,0,0,0,3.826,0,0,0
432f6494079a0c6f814ae600742df16d5dc2c470,0,49.018,0,0,0,3.878,0,0,0
206d6b68d1aa6d282d692cec3e38d144e1474b43,0,49.888,0,0,0,3.893,0,0,0
40093a67205b5e5ee86d982216de34ab76ff8956,0,48.792,0,0,0,3.849,0,0,0
3aa0f112aa61d02e04838a9231bc207c5833c966,0,49.228,0,0,0,3.889,0,0,0
37f399bf5a2181d08bd285d05bc1b5c17b1d728c,0,48.721,0,0,0,3.795,0,0,0
c088c25b3934bc44cdbebdc6e09f9022595a8fb0,0,49.294,0,0,0,3.867,0,0,0
be217b95d7478d1bf79ed8d733579af16caac826,0,49.528,0,0,0,3.878,0,0,0
6b78cc26178041dec029ae7b8ee48108ccd2a526,0,48.966,0,0,0,3.882,0,0,0
e4fa522af6fbc21e6df3b825a5d4c94043aa7784,0,50.400,0,0,0,3.895,0,0,0
sum,0,784.350,0,0,0,77.708,0,0,0
arith_mean,0,39.22,0,0,0,3.89,0,0,0
geo_mean,0,33.74,0,0,0,3.88,0,0,0
