SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
ba326e6fb8c8f756ec3b5c1a3c795be0e46ee8a9,160,26.748,0,465,4615,4.305,0,0,0
41789cd869b39b07cfd06f25a30dea4aee2574ed,0,5.091,0,0,0,3.726,0,0,0
2e48ef788336a47618a75255a8704bfbde570518,39,25.656,0,109,1034,3.720,0,0,0
87d49765ed4947e7b7cc514b3fd5071780c2e2a8,36,29.023,0,215,1284,3.757,0,0,0
d34a95893f93227a83f1503086d5c7f5b50b62ce,2,20.935,0,115,1064,3.705,0,0,0
3cf022e01a8598c658a0c25d847f42838471c781,40,26.763,0,189,1253,3.724,0,0,0
b857077ac8ed7db9f6d09e37107934311fb81f5f,160,48.874,0,232,1420,4.277,0,0,0
6af2b8653d1b613e90dfbbde369d5051ae3b00d4,63,31.948,0,222,1414,3.838,0,0,0
6f6654f86683a898ac86884cf4e19c193acaac3c,160,49.852,0,220,1364,4.131,0,0,0
3495a64ba75287f55d5a26032f48889323d821c6,160,49.701,0,99,994,3.873,0,0,0
990d2f3ba79ecc78adbef48e65b7d1bdd74f010f,0,20.271,0,103,1017,3.826,0,0,0
432f6494079a0c6f814ae600742df16d5dc2c470,0,20.711,0,103,1017,3.878,0,0,0
206d6b68d1aa6d282d692cec3e38d144e1474b43,0,21.088,0,85,1069,3.893,0,0,0
40093a67205b5e5ee86d982216de34ab76ff8956,4,21.475,0,86,1038,3.849,0,0,0
3aa0f112aa61d02e04838a9231bc207c5833c966,4,22.058,0,88,1083,3.889,0,0,0
37f399bf5a2181d08bd285d05bc1b5c17b1d728c,0,22.030,0,118,1129,3.795,0,0,0
c088c25b3934bc44cdbebdc6e09f9022595a8fb0,4,22.905,0,118,1138,3.867,0,0,0
be217b95d7478d1bf79ed8d733579af16caac826,37,31.049,0,222,1371,3.878,0,0,0
6b78cc26178041dec029ae7b8ee48108ccd2a526,37,26.615,0,179,1160,3.882,0,0,0
e4fa522af6fbc21e6df3b825a5d4c94043aa7784,1,25.242,0,188,1309,3.895,0,0,0
sum,907,548.035,0,3156,25773,77.708,0,0,0
arith_mean,60.47,27.40,0,166.11,1356.47,3.89,0,0,0
geo_mean,23.66,25.08,0,148.73,1254.18,3.88,0,0,0
