SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
217db4c0b2f1791ca4f22ab8c1b01d476073e7d2,160,80.946,95,95,0,6.374,1,0,0
eaa19527f19574b8092c5f459c401307d693b21e,160,82.275,95,11,0,4.332,1,0,0
0c41c0bb1def5c9e0042d7d0ca91f511a661aaf8,38,10.969,95,14,0,4.416,0,0,0
4144dd7979d6ec6094277b0d24ee8d7b387b2f4b,160,74.799,95,21,0,5.053,1,0,0
be23c3112b0f5934b93039dc3617d85f5ec86ce6,26,8.734,95,3,0,4.320,0,0,0
66eeff41db4770c1a4d16e82634dc4b5050405d2,26,8.705,95,3,0,4.202,0,0,0
0feea3bf328a33f8f7c6947d7345f29e6fe2331d,26,9.625,95,3,0,4.588,0,0,0
97d082473ab4213047ef6883e6e2f57b7d54419f,26,9.743,95,3,0,4.243,0,0,0
ca9f3d013a624f6980daf2db01ffe852f046741d,27,9.669,96,6,0,4.175,0,0,0
bc7cd9e91a9bfaba0c91fc152ad65ee9063de7ce,26,10.364,96,4,0,4.242,0,0,0
63c56465264cb5d5a60e1cb2635ee1432fc46bd1,27,9.295,96,6,0,4.409,0,0,0
d50289d33b91e720643849ace60230ff23d5475b,20,11.242,96,5,0,4.534,0,0,0
d6cd0c7658c8ae67e42887b40eb53b82ff1171a9,27,9.685,98,9,0,4.282,0,0,0
ad827705db67eef6551c819bd9ea1b89eff672e0,23,9.229,98,11,0,4.527,0,0,0
80b49db935d9c982b8f35f017f2a4b1dda41d009,20,10.117,98,5,0,4.874,0,0,0
a1ff9fa55e36b9c7c12e04fed2149689a622d185,160,74.651,98,5,0,5.123,1,0,0
755ee2863d73b80261dcbbdbb74f2e9cd7d5da97,160,76.082,98,1,0,4.903,1,0,0
438aaeeae2128d9bf6f4e7db2236bb8d61f32f44,160,72.559,98,12,0,4.848,1,0,0
sum,1272,578.689,1732,217,0,83.445,6,0,0
arith_mean,70.67,32.15,96.22,12.06,-nan,4.64,1.00,-nan,-nan
geo_mean,47.24,19.40,96.21,6.58,-nan,4.61,1.00,-nan,-nan
