SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
217db4c0b2f1791ca4f22ab8c1b01d476073e7d2,160,81.237,0,95,0,0,1,0,0
eaa19527f19574b8092c5f459c401307d693b21e,160,62.128,0,24,0,0,0,0,0
0c41c0bb1def5c9e0042d7d0ca91f511a661aaf8,23,30.495,0,53,0,0,0,0,0
4144dd7979d6ec6094277b0d24ee8d7b387b2f4b,160,63.405,0,54,0,0,1,0,0
be23c3112b0f5934b93039dc3617d85f5ec86ce6,26,18.621,0,44,0,0,1,0,0
66eeff41db4770c1a4d16e82634dc4b5050405d2,0,10.801,0,30,0,0,0,0,0
0feea3bf328a33f8f7c6947d7345f29e6fe2331d,0,11.393,0,30,0,0,0,0,0
97d082473ab4213047ef6883e6e2f57b7d54419f,0,12.760,0,30,0,0,0,0,0
ca9f3d013a624f6980daf2db01ffe852f046741d,27,18.118,0,45,0,0,1,0,0
bc7cd9e91a9bfaba0c91fc152ad65ee9063de7ce,0,11.248,0,33,0,0,0,0,0
63c56465264cb5d5a60e1cb2635ee1432fc46bd1,17,15.620,0,42,0,0,1,0,0
d50289d33b91e720643849ace60230ff23d5475b,18,10.188,0,39,0,0,0,0,0
d6cd0c7658c8ae67e42887b40eb53b82ff1171a9,25,34.583,0,48,0,0,1,0,0
ad827705db67eef6551c819bd9ea1b89eff672e0,2,15.423,0,48,0,0,0,0,0
80b49db935d9c982b8f35f017f2a4b1dda41d009,0,10.474,0,1,0,0,0,0,0
a1ff9fa55e36b9c7c12e04fed2149689a622d185,160,17.648,0,4,0,0,0,0,0
755ee2863d73b80261dcbbdbb74f2e9cd7d5da97,160,16.399,0,13,0,0,0,0,0
438aaeeae2128d9bf6f4e7db2236bb8d61f32f44,160,59.108,0,44,0,0,1,0,0
sum,1098,499.649,0,677,0,0,7,0,0
arith_mean,84.46,27.76,0,37.61,0,0,1.00,0,0
geo_mean,46.01,21.40,0,27.82,0,0,1.00,0,0
