SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
217e6001,160,104.836,0,55,302,10.542,4,0,0
3e69d214,3,15.471,0,48,305,9.960,0,0,0
7b78f286,23,45.392,0,48,301,10.154,0,0,0
0c9f308d,30,47.963,0,48,309,10.378,0,0,0
0af2a93d,30,49.317,0,47,295,9.932,0,0,0
e9fb3765,52,66.993,0,44,293,10.091,0,0,0
336c3606,50,65.861,0,46,323,10.003,0,0,0
b2359669,37,45.522,0,8,44,10.061,0,0,0
3c3cacae,48,65.873,0,44,305,10.022,0,0,0
f644d2aa,160,493.136,0,47,339,53.095,4,0,0
9bde2024,52,68.371,0,46,337,10.384,0,0,0
1e2f159b,35,58.173,0,46,337,10.469,1,0,0
0092942a,35,56.788,0,40,287,10.633,1,0,0
99c4d396,160,102.918,0,35,269,10.872,6,0,0
8f4fce7f,8,18.011,0,35,267,10.721,0,0,0
84d3184d,160,101.800,0,49,347,11.033,6,0,0
940d5723,160,111.120,0,49,349,11.216,6,0,0
7d262a11,0,5.353,0,0,0,10.751,0,0,0
sum,1203,1522.898,0,735,5009,230.317,28,0,0
arith_mean,70.76,84.61,0,43.24,294.65,12.80,4.00,0,0
geo_mean,45.49,55.94,0,40.78,275.77,11.40,3.20,0,0
