SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
beb456490aab88954c846cb31ffaf4212e387995,160,70.625,0,80,788,7.705,4,0,0
8a7d0ec477dce966830f315c8b4e70d7676d3718,0,9.795,0,2,12,7.013,0,0,0
2c7a4986827cb794a9cec3982de99976ebbb771e,34,10.923,0,9,36,6.981,3,0,0
ad5ae728c1dc296e74a480738b3a4473ebf13bc4,20,10.878,0,6,58,7.039,2,0,0
7716b6ffb4dc28a03470b50d27a98c8883f70f76,40,11.807,0,21,193,6.974,3,0,0
95175a7a907be4dd60f62e6fabf1242e33af93da,37,11.011,0,9,43,7.018,2,0,0
12cca7c57116e25ec93fef24dc024e4e8effd448,17,10.610,0,2,4,6.929,0,0,0
8591b5996aac1ce6c385a784ff6b7a1d61d6430c,1,9.984,0,1,1,7.000,0,0,0
d8c2e0683d348c33deffeb57846792c371c6e1c2,18,10.458,0,2,5,6.994,0,0,0
afcebefe261fe13c9aeac03bd7a0595f407588a5,24,10.920,0,4,43,6.991,2,0,0
03395a7ebbb9455a002a82ecaf53c85da0ba4be7,25,11.089,0,4,50,6.981,0,0,0
565124f83b7c48c60e769ef94ca2a36218bf6a76,42,11.596,0,17,126,6.967,3,0,0
8bf5209eb763dcf70e0728de373634c751eabb80,36,11.296,0,9,47,7.011,2,0,0
8536559ce22fe964b945763d74b8e264da105051,17,10.849,0,4,25,7.063,0,0,0
1a70ec45bb122651de65e1a93e5eae6ab0951e07,40,11.667,0,27,172,7.094,3,0,0
ef1dcb6a1da1d04e97130eb0048e798ab028bb4e,16,10.524,0,4,4,7.081,0,0,0
a69c7752709e4bc01b4fe54d03640d618bd8785d,36,11.281,0,4,35,7.002,2,0,0
1a81cd369f7d2477ef5792b4055a10a0bcf124ce,36,11.304,0,4,38,7.073,2,0,0
9da5157a8b9c1c668ce85b2baacc8e410d21c4c3,38,11.351,0,4,38,7.094,6,0,0
2a5452de27ab86040dd0f17f4fda371bea121599,38,11.362,0,4,42,7.004,6,0,0
sum,675,279.330,0,217,1760,141.014,40,0,0
arith_mean,35.53,13.97,0,10.85,88.00,7.05,3.08,0,0
geo_mean,26.24,12.04,0,5.79,32.30,7.05,2.83,0,0
