SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
c5c6eec1d913db26735cd47682bc4c57456be7eb,160,10.567,0,23,152,2.632,1,0,0
ca8c6a5553dcf3e71135229c49f094daf6fa5cc8,2,6.447,0,17,140,2.165,0,0,0
6d38f560a9ec11aea41553c8bc7ad49e30b79833,0,5.689,0,10,91,2.177,0,0,0
f93e6ff3fd04909cac196aa739e422bfe1a8d08f,160,10.048,0,25,238,2.211,1,0,0
260e22857f5424b27b8e75a3326120ab6a85a002,0,5.143,0,10,90,2.217,0,0,0
5ee811af0f9933343c2710b436ccf8607333c4fb,5,6.556,0,25,239,2.195,0,0,0
d5d771211e8b6705208550c085cbbd4124f4550e,2,6.446,0,14,107,2.205,0,0,0
17756b6bd56bf19db3a5d49cfbf8e9f059e5eb81,5,6.581,0,25,224,2.207,0,0,0
a36c7bcd052771e57c1d5b739604a89b9d8e77ea,5,6.474,0,25,207,2.187,0,0,0
e36cb33d49e72cdc0040cbb97d2deb908aee6c8a,5,6.641,0,26,214,2.175,0,0,0
936dce57fad11e275d1f8a33abe6c695f26cca61,2,6.361,0,18,144,2.207,0,0,0
a4da08960558a45bd96c45f25264fbd96101745d,2,6.536,0,17,131,2.200,0,0,0
d9562d88d94cbb0f870d5ade7366670a210489fd,2,6.486,0,14,107,2.208,0,0,0
54e5edaab1a59fc890b809d7acad8070839842fb,5,6.651,0,27,213,2.222,0,0,0
0b8d87e17270bb1a8e72b8d732d3d1ecf546544b,2,6.515,0,19,158,2.211,0,0,0
7369dcbd1895988e06c7118dc0501073fe698ee5,5,6.535,0,26,213,2.235,0,0,0
29336eaffcba289ba406418f7079b859661e7175,160,10.014,0,4,13,2.270,1,0,0
a12209a0ff4c20da695b46d85b372509fdf4d411,0,3.238,0,0,0,2.190,0,0,0
8bd9c2b1e94e49d586187f97fe0bb570c6ae3dd1,2,6.513,0,18,161,2.190,0,0,0
b5912bd4cde8b15f2be10df04d22b2e2fddb94d0,0,5.650,0,7,57,2.297,0,0,0
sum,524,135.091,0,350,2899,44.601,3,0,0
arith_mean,32.75,6.75,0,18.42,152.58,2.23,1.00,0,0
geo_mean,6.41,6.56,0,16.65,131.50,2.23,1.00,0,0
