SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
fd7232206d6eddb19da1eefd3163e28392652706,160,69.208,0,236,0,4.790,47,0,0
e866c2c822cc73ae0726a1ab035aca850739ee26,2,15.633,0,44,0,4.274,23,0,0
783caf7c448142fb9fd044e849ebba3c8af7564d,160,66.589,0,203,0,4.553,47,0,0
fabc0a73fb216922607afd377e2bb686dd1d265f,20,35.784,0,204,0,4.292,32,0,0
a6696849b3dc766d5ccbf0d6c66f24ee6dfeaccd,24,42.513,0,17,0,4.265,37,0,0
0a9b673a204e46dfd02ea8a45ad64660da8e37b4,27,43.471,0,27,0,4.325,37,0,0
4aeb92f4e5417e0602a644d8970f28e0753e5c77,27,44.190,0,27,0,4.337,37,0,0
7a7327a72bb2f291fcda307fd4aa674fbb22eb73,25,43.841,0,19,0,4.362,37,0,0
7c0fd98f5b15c7fd9e2273238946d75e22dca8ff,29,50.656,0,204,0,9.027,37,0,0
fafa343c95af2c30b759c5b8b9a929933d37bf8a,32,53.393,0,217,0,7.965,37,0,0
495bfc332ca29172b4e1c3d54a46abc542197642,4,22.335,0,56,0,9.736,23,0,0
cd8f8151ae8c22ea48dd4008e8169977ff4b0d5d,3,21.317,0,33,0,7.520,23,0,0
8e73360922f4b1d061784b7bd358bd2117b261cc,3,20.499,0,49,0,9.469,23,0,0
e2b0371ed4980a90ee891f2a0a6874668994af5c,18,41.390,0,34,0,9.568,32,0,0
bf89589c6c83c726c96533f33a1d4add276880e3,160,78.123,0,27,0,7.487,48,0,0
0923aad7226e0862eee546c3823b980b90da40e3,18,41.913,0,27,0,9.733,32,0,0
b3fee4a8060fbdca5936d19cff472a706e8e2af9,160,77.291,0,26,0,6.952,47,0,0
0a26188663a447baae8f8261a01670557332795e,6,20.957,0,30,0,8.991,23,0,0
244564c8e77bc87dedfc230cf053bd6a0d7d9e4b,6,22.069,0,30,0,8.342,23,0,0
194f57e4610b3eb9b8af0b7a21a9f46097d0b2f2,6,22.553,0,30,0,8.568,23,0,0
sum,890,833.725,0,1540,0,138.556,668,0,0
arith_mean,44.50,41.69,0,77.00,0,6.93,33.40,0,0
geo_mean,18.68,37.26,0,49.25,0,6.56,32.19,0,0
