SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
7eff5259543ef6f0253df935c4c075fdbfa9c45d,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f9e38160ccc9c39acace864868d27ac95c0d5c7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4e68d5cc97e689b19f63dff32bb65e3b64e81dd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418685bfa734830f263bd78cd60d67cd35e03f70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2f585d1823d3822cd6475f7ae0e855a3a4a01880,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1796c630a5a04dc8845902b0858404cd8666691,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57ad5b208e7233bd3bee4f1bc1dc91533215ce09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b47a4f6d7be0820c731dcfadad11288ce11669c2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820bf04bd3946d1b1c25c3ac75934f4cfde0e7bd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08fb362983edd2b0be133a00b65860cf26a6a09b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8f2e92b874d391ff0a9fe2bec9a5c2610e8833d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6b129102006eada7fb403cd3bd58af3c729e2bc6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d84a02c655376859b3ce7794b958d0101e4aeeb7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c2fe42a3828193f2f90339a32500400f21380d8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2280dd1fc46a37bb725a02cb5ab2d27a74cb4f08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443cc3b7a131b127cfc7ca87c7ef8a8789892d0d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7f5bf50b5d32feae5194211517b96612cb249618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83a8dfc65102c3b8931ceb7c72364b1b579ce5fb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b23fc31ab415304d24ad84956d4ff8f5bf15011,5,4,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4d1659e781f21561c3ec0e7b6e68c0668dee2d0f,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,28,5,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
arith_mean,1.40,2.50,0,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00
geo_mean,1.17,2.00,0,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00
