SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
8a413067f0fa1fca5392740a538fd8b1276ba213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499f55f335ef36842d44b966416031fcc606a5d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f359660f971aee4003b539bcd7cf0161974f8221,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e57507a2d2a55a073e49c34ba66079fe554e68eb,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
0dbc32a2f0894cb6e0ebb47345f0c93e81098ea2,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0
4ec60c869b56723e941f9eb5ecdabbd7535aad94,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
39da7e02834096d3a4cfbc3e5236de4d4bad9fd8,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
75c9556e4432afe896daeff3b73f299438eec8c7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8935f9939efc31b3acb874802dbd9e08306afd66,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
43624aa653b30d7667b25c37fa7e2de5f09acd8a,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
365758463762f2e9b83aa27e1df877d11797731c,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81791cbd50aff62a7254c3ff9cb1657a05e7d7db,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e68ff53de73d6cdc14e54d87878d39302f4b6c09,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
3205f39ced771f4068dd36cfda78dc42dc3be65d,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
618eea344c257e82ca132b1954f73abd717e9f30,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
b610826f6f0363caac0413fbf6bef48b4100612d,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
cc815143e2bbcee8a4481baa6a803ea57b9b63ab,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
32e4a6ffaa7a02592e8b9623d67e284e67a6a451,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
sum,32,2,0,0,26,0,22,0,22,0,14,0,22,0,14,0,14,0,14
arith_mean,2.00,2.00,0,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00
geo_mean,2.00,2.00,0,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00
