SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
2d7b0d1949403a5cce39c893da5f047fb596070b,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845f651300dbcdbfae00ec75db0c9a94244b6e93,8,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0
81075d7fb1fa1102e53b0f159004e81f30567b1e,8,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0
ba631b9d4a542885303aa7bd5952ad38b3d7e990,8,0,0,0,6,0,6,0,6,0,6,0,6,0,0,0,0,0,0
efbfe75d18d5022fb9c5175332cb5f4c06cd7ff1,8,0,0,0,6,0,6,0,6,0,6,0,0,0,0,0,0,0,0
77ca4ff79cbd1d6cd6ce81a6cfe53aa5dba68d30,8,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0
010c87d9170f3e86a001a6351699aef1ae168fcf,8,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0
2ae8ee5f981ca347b8cf000e8e0bd7b7bfadbd23,8,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0
a79e8443ab85d01fc71154ae7d2296f65ad89d20,8,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0
448718f23015abb49120fd77f4931c5b6266f2b0,8,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0
4c306c847ebc63d8642f62d0de4f56ff6250afb5,8,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0
4372e81347f5593c3dae8fc7b122c5d45c3057ef,8,0,0,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6
07b12a6d31144fe29c9b87e4dcfc0ea5d2bd3ad5,8,0,0,0,6,0,6,0,6,0,6,0,6,0,0,0,0,0,0
77f7422ee589c192669dd962ff51be5143222177,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f0c656067eafac31d99f38724bf422442848f4e4,8,0,0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0
a557ff1d4d283e8d5aca1be48f94cae919387b68,8,0,0,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6
b70c659f88b83374092a4045f34318f5dd929423,8,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0
2599ebe7d0008d8f342204e32f2ee05ea5b90fe4,8,0,0,0,6,0,6,0,6,0,6,0,6,0,0,0,0,0,0
c92a666d9f981cae52575957109dac5eb3e253b7,8,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
5882ac1c31f0a6d4a06767bafb5c46f674efedd7,8,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0
sum,160,8,0,0,114,0,96,0,102,0,42,0,84,0,12,0,12,0,12
arith_mean,8.00,8.00,-nan,-nan,6.00,-nan,6.00,-nan,6.00,-nan,6.00,-nan,6.00,-nan,6.00,-nan,6.00,-nan,6.00
geo_mean,8.00,8.00,-nan,-nan,6.00,-nan,6.00,-nan,6.00,-nan,6.00,-nan,6.00,-nan,6.00,-nan,6.00,-nan,6.00
