SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
8045d9459af361c9560931dfb5523f9fb00b6990,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930c6819bb1e419cf0ecf00582abf2553e131aac,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d4d887825ce4380123f50f0545abe1d26852a7e4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d4868051c4f8d6a8f2f5bbbdd3c764c815b0b6f,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
ec156b31a3861a0d60c8a9d9bcebfc9a4f5f986d,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
491e8bea19dcfd588158b31c3ef9bbf00b7d3d55,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269699bd434e41988eec3dd3ad8856be8059a00a,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
3860ffaa7dca47a9be908d96cfbdca676cd08b79,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
5a0a54c1309690a5324350f470fa22ebb6611b9e,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
ec48f1a0c93f0d06ffbf7dbbc0b0c1484b10bd4d,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
80ac5c3277b3f4859d70549f953d42fa23114ccd,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554e87b30c38c57cc391d73fdd7dbbbae37aaf67,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
71bb14207ebdae703d6e5cbfa1f55b20bb353910,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15bc458c8a956c9719a9c34d74d49503ce1e0fe6,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
f849afeedc714d79bf86b8aa74b8683a55942eff,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73d5dcbf018e20674e1b56c70e79dd3dfd5b4dbd,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
c499c395cef38f9bb4b52d157bc336bff0644b94,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
7290786e82db354f1d310c599f84150a7ec0ef8b,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
0882294f8a6100fe81b73a714357477c12172f87,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
sum,47,7,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30
arith_mean,2.47,2.33,0,0,2.50,0,2.50,0,2.50,0,2.50,0,2.50,0,2.50,0,2.50,0,2.50
geo_mean,2.42,2.29,0,0,2.45,0,2.45,0,2.45,0,2.45,0,2.45,0,2.45,0,2.45,0,2.45
