SHA,VMS\HyRTS,HyRTS\VMS,VMS\CLASSES,CLASSES\VMS,VMS\METHODS,METHODS\VMS,VMS\MOP,MOP\VMS,VMS\FINE,FINE\VMS
18260e1ccbdb5fbf03fe752940193ffc7184f8b8,3,0,3,0,3,0,0,0,3,0
d5bd3a2f66a9d92e5b222303e2247b5c7f5966ca,0,0,0,0,0,0,0,3,0,0
11da199bb71f0496c2c00ea637bab089bc846603,0,0,0,0,0,0,0,3,0,0
620dd34a6b7bff998c56798adcae0c53903b552f,0,0,0,0,0,0,0,3,0,0
fc66bc6ecc3486418f63bbe35654a647b6039277,0,0,0,0,0,0,0,3,0,0
69b6f7f5b7b7a1597283322ee0c079cd51cbc196,0,0,0,0,0,0,0,3,0,0
abee8a0459dbf7651cf8c0ef9fb5018e85c387aa,0,0,0,0,0,0,0,3,0,0
a9605415da2153729f375cefa155230d402ab29a,0,0,0,0,0,0,0,3,0,0
aca383f00275e55a479d68c9ac72e3eebf9dae3b,0,0,0,0,0,0,0,3,0,0
7b5d0c91522cb9e5ec0bb01baa4ffafd3ea6affb,0,0,0,0,0,0,0,3,0,0
9430f0c7b202e3b8c0db075eea217a67a49771d6,0,0,0,0,0,0,0,0,0,0
