SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
fafafb09,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65b79fac,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcd356a7,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
1718ec43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1794f37d,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6bac4efe,3,1,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
49df0b0c,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
35fde0e6,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
00ecca08,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
1c6d2fc1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,23,3,0,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
arith_mean,2.30,1.50,0,0,2.40,0,2.40,0,2.40,0,2.40,0,2.40,0,2.40,0,2.40,0,2.40
geo_mean,2.26,1.41,0,0,2.35,0,2.35,0,2.35,0,2.35,0,2.35,0,2.35,0,2.35,0,2.35
