SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8a148f0845336fefd69d60a054695c6b5f3626f9,160,95.057,0,128,0,12.921,3,0,0
130f01463d35c6258d25339945117732f4b52516,11,9.698,0,1,0,4.550,0,0,0
e2879c1dd2ee25e5dee7bf1bf5fc01575cf64a97,0,5.273,0,0,0,6.485,0,0,0
8e77f963cbc0c688649504b95cc29bf09e4574c1,0,6.719,0,0,0,4.445,0,0,0
cbcb094b9bbf190984564392f2ee0803f2d5f87b,33,10.759,0,14,0,5.852,0,0,0
d311fa0ccdfd6a3fbfcda59d8dd745e48d8d868a,160,101.661,0,22,0,8.792,3,0,0
6322f2e2dcd6013eb3d22f14e28c036fb35f75b9,160,92.653,0,20,0,5.543,3,0,0
3e279e43dc87a67eef212c5325b9df3b80b3587b,160,103.565,0,20,0,4.187,3,0,0
1b078592e738801f3fe84975a1b50360e275ce47,160,107.162,0,15,0,4.233,3,0,0
b27b9f782d87244fda4ac8b5e58a297375992b1b,28,10.551,0,9,0,4.581,0,0,0
35781cc857d22160c77fc6d80686fabf3ec65af2,33,11.372,0,13,0,5.035,0,0,0
9b83e0ad4b3ff209c468af9c204ec1b900b75fb8,0,15.933,0,1,0,9.339,0,0,0
b6291a9712d1976dcef34a053f8ddc08719f0d85,32,11.800,0,14,0,4.832,0,0,0
408e5ce0131b11bda5d0efaa2bdaef3b7dc10b16,35,11.426,0,14,0,4.207,0,0,0
sum,972,593.629,0,271,0,85.002,15,0,0
arith_mean,88.36,42.40,-nan,22.58,-nan,6.07,3.00,-nan,-nan
geo_mean,60.45,22.67,-nan,11.51,-nan,5.69,3.00,-nan,-nan
