SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8a148f0845336fefd69d60a054695c6b5f3626f9,160,93.824,0,128,0,0,3,0,0
130f01463d35c6258d25339945117732f4b52516,11,9.805,0,71,0,0,0,0,0
e2879c1dd2ee25e5dee7bf1bf5fc01575cf64a97,0,8.397,0,0,0,0,0,0,0
8e77f963cbc0c688649504b95cc29bf09e4574c1,0,7.588,0,0,0,0,0,0,0
cbcb094b9bbf190984564392f2ee0803f2d5f87b,1,14.255,0,53,0,0,0,0,0
d311fa0ccdfd6a3fbfcda59d8dd745e48d8d868a,160,33.545,0,116,0,0,2,0,0
6322f2e2dcd6013eb3d22f14e28c036fb35f75b9,160,33.136,0,115,0,0,2,0,0
3e279e43dc87a67eef212c5325b9df3b80b3587b,160,33.317,0,116,0,0,2,0,0
1b078592e738801f3fe84975a1b50360e275ce47,160,13.365,0,49,0,0,0,0,0
b27b9f782d87244fda4ac8b5e58a297375992b1b,28,25.830,0,88,0,0,1,0,0
35781cc857d22160c77fc6d80686fabf3ec65af2,10,11.823,0,52,0,0,0,0,0
9b83e0ad4b3ff209c468af9c204ec1b900b75fb8,0,10.830,0,8,0,0,0,0,0
b6291a9712d1976dcef34a053f8ddc08719f0d85,0,11.557,0,55,0,0,0,0,0
408e5ce0131b11bda5d0efaa2bdaef3b7dc10b16,18,23.962,0,99,0,0,0,0,0
9f8a85135c9ca1cb2be7ddc810505f31087a5579,16,11.551,0,54,0,0,0,0,0
4cae9898d1fa100ce2d61249cfd8ee3a46d0d051,41,26.330,0,120,0,0,1,0,0
5c2e6b0538d2059e9d8ab31a4584e8cf904211ef,0,7.394,0,0,0,0,0,0,0
f997f7e03bda372f0175b52ceccc8a37e1467e90,23,12.426,0,60,0,0,0,0,0
2cd8e9951f92b79a0d3fb31385bf1243e78701a8,20,9.121,0,46,0,0,0,0,0
ba9fd95be1121423d902f48cf4156c6aa60aaaec,25,21.427,0,110,0,0,0,0,0
sum,993,419.483,0,1340,0,0,11,0,0
arith_mean,66.20,20.97,0,78.82,0,0,1.83,0,0
geo_mean,32.32,16.44,0,68.03,0,0,1.70,0,0
