SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
fafafb09,160,64.496,0,290,1714,15.559,2,0,0
65b79fac,0,11.532,0,0,0,14.863,0,0,0
dcd356a7,160,76.387,0,91,293,15.233,2,0,0
1718ec43,0,19.325,0,0,0,15.091,0,0,0
1794f37d,0,25.308,0,2,4,15.155,0,0,0
6bac4efe,160,82.285,0,92,336,15.854,3,0,0
49df0b0c,160,141.014,0,479,2019,24.809,3,0,0
35fde0e6,160,124.211,0,241,523,24.563,3,0,0
00ecca08,160,109.845,0,266,670,20.510,2,0,0
1c6d2fc1,0,22.491,0,3,12,20.313,0,0,0
sum,960,676.894,0,1464,5571,181.950,15,0,0
arith_mean,160.00,67.69,0,183.00,696.38,18.19,2.50,0,0
geo_mean,160.00,50.07,0,67.82,221.19,17.83,2.45,0,0
