SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
fafafb09,160,79.947,290,290,0,15.559,2,0,0
65b79fac,0,13.347,290,0,0,14.863,0,0,0
dcd356a7,160,88.788,331,237,0,15.233,2,0,0
1718ec43,0,21.564,319,0,0,15.091,0,0,0
1794f37d,0,35.615,319,237,0,15.155,0,0,0
6bac4efe,160,97.981,341,270,0,15.854,3,0,0
49df0b0c,160,152.963,693,569,0,24.809,3,0,0
35fde0e6,160,156.761,608,584,0,24.563,3,0,0
00ecca08,160,126.808,633,541,0,20.510,2,0,0
1c6d2fc1,0,18.912,554,3,0,20.313,0,0,0
sum,960,792.686,4378,2731,0,181.950,15,0,0
arith_mean,160.00,79.27,437.80,341.38,0,18.19,2.50,0,0
geo_mean,160.00,57.71,412.53,198.10,0,17.83,2.45,0,0
