SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
a2b382da0a7424c9861da2750b40f332543314eb,160,58.671,0,53,0,4.685,5,0,0
5985fb7361c4b21cf789a9f5d89276afaa49674a,0,3.442,0,0,0,3.435,0,0,0
10777466f2c5ea11e738f55430a70c911ce6c4cb,43,38.349,0,43,0,3.436,4,0,0
4926c32d147a7ace1b1729cffb3f106783b2e921,43,38.452,0,43,0,3.497,4,0,0
236ec5483c17b297a683493c74e55dcacbb6984f,41,38.197,0,32,0,3.459,1,0,0
9e6ce7196f8fe36bd28ec96ba27d7d8ce7d4924c,43,38.317,0,44,0,3.476,4,0,0
42e821c9948d2759c066fa35ab59ebf7a42ce70d,43,38.184,0,44,0,3.419,4,0,0
dbece6b01144f7ec8ba4365895666ad0dbf7f53d,43,38.349,0,44,0,3.450,4,0,0
922ccf0ce7597ce419fe208e67078b4ed7a0d047,43,38.864,0,43,0,3.438,5,0,0
34ce5b5f35adfbcbb5973de648987530cc9e7057,43,38.640,0,43,0,3.466,5,0,0
sum,502,369.465,0,389,0,35.761,36,0,0
arith_mean,55.78,36.95,0,43.22,0,3.58,4.00,0,0
geo_mean,49.50,31.49,0,42.92,0,3.56,3.69,0,0
