SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
a02f1ada716e9b601d0223922d7e594073a2806c,160,103.686,2,2,0,0,0,0,0
6134f3867e9ee8cd55de8a4774a7a88324dd64e5,160,97.508,11,11,0,0,9,0,0
7baa9558512be83501a7a55cc28d479f55fe5ee3,160,87.150,11,7,0,0,7,0,0
cb55d5257375727c2504152609abf52e815dff07,31,49.939,11,7,0,0,3,0,0
ce6fcf061ac67083c372a9de00b6f2d9c547d716,160,100.320,12,11,0,0,7,0,0
06a32ee38abd15691f802949c797e428c8b9f07b,160,104.577,18,17,0,0,10,0,0
2f3ff1431ce1fb76d196d902a5475233b4a40fef,35,60.935,18,13,0,0,8,0,0
4b279a4f9b5f6719ef1d99014d6967eb460488e5,0,6.375,18,0,0,0,0,0,0
e31ec7a8acded7cc6ed731a391ddaf86d13329da,35,62.828,18,13,0,0,8,0,0
6a3723db00bc61b67e48e38180a7e8c483c36e78,0,8.917,18,0,0,0,0,0,0
53667945a46b21043ee0081cb4e79cad55a8a1cc,35,92.916,18,17,0,0,9,0,0
7d68643eb689d405218fb0b16245742e54f845ac,35,64.872,18,17,0,0,9,0,0
5c59d54443ad209047a7a9b03d1dadc614b3e86c,3,10.380,18,3,0,0,0,0,0
511004a7d4b7bc94830bca223baf6c040f0c0ebf,35,155.643,18,17,0,0,9,0,0
fe32984f0a4f8d859937281b380d84dc58bdd9e7,35,67.901,18,17,0,0,9,0,0
802d8ad132617255852663e82e142666d46bfdbe,0,8.935,18,0,0,0,0,0,0
12dfa2f5e391134af41933386e47787b0c1235c0,160,98.174,18,14,0,0,9,0,0
9a692e1f226b30058ba4a190d8b51bc90c2e5540,35,64.407,18,17,0,0,8,0,0
6522cb0651600764b3148ad7cf00a87547710049,160,104.717,18,14,0,0,5,0,0
4bacdbf3254784b0148e2fd63bfb8655b609af04,35,236.027,18,13,0,0,4,0,0
sum,1434,1586.207,317,210,0,0,114,0,0
arith_mean,84.35,79.31,15.85,12.35,0,0,7.60,0,0
geo_mean,56.23,56.02,14.68,10.80,0,0,7.25,0,0
